step,time,n_outer,class,aU,ap
1,0.1,29,ok,0.7,0.3
2,0.2,27,ok,0.7,0.3
3,0.3,26,ok,0.7,0.3
4,0.4,25,ok,0.7,0.3
5,0.5,25,ok,0.7,0.3
6,0.6,26,ok,0.7,0.3
7,0.7,26,ok,0.7,0.3
8,0.8,26,ok,0.7,0.3
9,0.9,26,ok,0.7,0.3
10,1,26,ok,0.7,0.3
11,1.1,24,ok,0.8235,0.3
12,1.2,24,ok,0.8235,0.3
13,1.3,24,ok,0.8235,0.3
14,1.4,24,ok,0.8235,0.3
15,1.5,24,ok,0.8235,0.3
16,1.6,24,ok,0.8235,0.3
17,1.7,24,ok,0.8235,0.3
18,1.8,24,ok,0.8235,0.3
19,1.9,24,ok,0.8235,0.3
20,2,23,ok,0.8235,0.3
21,2.1,22,ok,0.9032,0.3
22,2.2,21,ok,0.9032,0.3
23,2.3,21,ok,0.9032,0.3
24,2.4,21,ok,0.9032,0.3
25,2.5,21,ok,0.9032,0.3
26,2.6,21,ok,0.9032,0.3
27,2.7,21,ok,0.9032,0.3
28,2.8,21,ok,0.9032,0.3
29,2.9,21,ok,0.9032,0.3
30,3,21,ok,0.9032,0.3
31,3.1,20,ok,0.918,0.3
32,3.2,20,ok,0.918,0.3
33,3.3,20,ok,0.918,0.3
34,3.4,20,ok,0.918,0.3
35,3.5,20,ok,0.918,0.3
36,3.6,20,ok,0.918,0.3
37,3.7,20,ok,0.918,0.3
38,3.8,20,ok,0.918,0.3
39,3.9,20,ok,0.918,0.3
40,4,20,ok,0.918,0.3
41,4.1,21,ok,0.9032,0.3
42,4.2,21,ok,0.9032,0.3
43,4.3,21,ok,0.9032,0.3
44,4.4,21,ok,0.9032,0.3
45,4.5,21,ok,0.9032,0.3
46,4.6,21,ok,0.9032,0.3
47,4.7,21,ok,0.9032,0.3
48,4.8,21,ok,0.9032,0.3
49,4.9,21,ok,0.9032,0.3
50,5,21,ok,0.9032,0.3
51,5.1,19,ok,0.9032,0.3396
52,5.2,19,ok,0.9032,0.3396
53,5.3,19,ok,0.9032,0.3396
54,5.4,19,ok,0.9032,0.3396
55,5.5,19,ok,0.9032,0.3396
56,5.6,19,ok,0.9032,0.3396
57,5.7,19,ok,0.9032,0.3396
58,5.8,19,ok,0.9032,0.3396
