case,family,kind,it_ratio,vs_n10,calls
cavity_Re100,cavity,jev3_i5,0.579002624671916,2.289965397923875,441
cavity_Re100,cavity,jev3_i20,0.18923884514435696,0.7484429065743944,36
cavity_Re100,cavity,jev3_low,0.38241469816272966,1.5124567474048443,145
cavity_Re400,cavity,jev3_i5,0.7627986348122867,2.873981997428204,446
cavity_Re400,cavity,jev3_i20,0.23720136518771331,0.8936990998714103,34
cavity_Re400,cavity,jev3_low,0.25597269624573377,0.9644234890698672,74
cavity_Re1000,cavity,jev3_i5,0.4716275908936459,1.1934651762682718,277
cavity_Re1000,cavity,jev3_i20,0.4444444444444444,1.124677558039553,65
cavity_Re1000,cavity,jev3_low,0.4087665647298675,1.0343938091143594,120
lbfs_Re400,lbfs,jev3_i5,0.4854219948849105,0.8484577559231113,379
lbfs_Re400,lbfs,jev3_i20,0.578772378516624,1.011622708985248,113
lbfs_Re400,lbfs,jev3_low,0.639386189258312,1.117568171658471,249
pitzDaily,pitzDaily,jev3_i5,0.975177304964539,0.8184523809523809,54
pitzDaily,pitzDaily,jev3_i20,0.9361702127659575,0.7857142857142857,13
pitzDaily,pitzDaily,jev3_low,1.6063829787234043,1.3482142857142858,45
pm_bfs_U44,pm_bfs,jev3_i5,0.2562466772993089,0.6856330014224751,96
pm_bfs_U44,pm_bfs,jev3_i20,0.24667729930887825,0.6600284495021337,23
pm_bfs_U44,pm_bfs,jev3_low,0.30249867091972354,0.8093883357041252,56
pm_bfs_U50,pm_bfs,jev3_i20,0.2909090909090909,0.7864406779661017,23
pm_bfs_U50,pm_bfs,jev3_low,0.4087774294670846,1.1050847457627118,65
pm_bfs_U75,pm_bfs,jev3_i5,0.48753117206982544,,156
pm_bfs_U75,pm_bfs,jev3_low,0.3690773067331671,,59
cavity_Re700,cavity,jev3_i5,0.45440786984487325,1.1018348623853211,240
cavity_Re700,cavity,jev3_i20,0.2618236852062051,0.634862385321101,34
cavity_Re700,cavity,jev3_low,0.3216042376087779,0.7798165137614679,84
lbfs_Re300,lbfs,jev3_i5,0.457162440027416,0.8411097099621689,266
lbfs_Re300,lbfs,jev3_i20,0.5555174777244688,1.0220680958385877,81
lbfs_Re300,lbfs,jev3_low,0.6425633995887594,1.1822194199243379,187
lbfs_Re600,lbfs,jev3_i5,0.6243434160478174,1.091513616212793,689
lbfs_Re600,lbfs,jev3_i20,0.5774316247056692,1.0094996833438885,159
lbfs_Re600,lbfs,jev3_low,0.6382901648252128,1.11589613679544,352
pitzDaily_U20,pitzDaily,jev3_i5,1.89419795221843,1.825657894736842,110
pitzDaily_U20,pitzDaily,jev3_i20,1.3344709897610922,1.2861842105263157,19
pitzDaily_U20,pitzDaily,jev3_low,1.621160409556314,1.5625,47
pm_bfs_U35,pm_bfs,jev3_i5,0.27983539094650206,0.9302931596091205,95
pm_bfs_U35,pm_bfs,jev3_i20,0.2933568489124045,0.9752442996742671,24
pm_bfs_U35,pm_bfs,jev3_low,0.25749559082892415,0.8560260586319218,43
pm_bfs_U65,pm_bfs,jev3_i5,0.28327228327228327,0.6186666666666667,92
pm_bfs_U65,pm_bfs,jev3_i20,0.5335775335775336,1.1653333333333333,43
pm_bfs_U65,pm_bfs,jev3_low,0.31684981684981683,0.692,51
