case,family,default,oracle,rules,model_sync,model_async
cavity_Re100,cavity,0.0008892930492045,0.0008079040003617,0.0009542631214956,0.0009542172705510333,0.0009542350223703
cavity_Re250,cavity,0.0007804373014589,0.0007582255219068,0.0008996052924712,0.0008995648941946,0.000722434332075
cavity_Re400,cavity,0.0006914953349989,0.0007369676156006,0.0008791808846021,0.0002543823407670667,0.0006050576871985334
cavity_Re700,cavity,0.0010310793598478,0.0007747508648455,2.994551890989093e-05,2.7823793322183327e-05,0.00048068082275809997
cavity_Re1000,cavity,0.0014408193935207,0.0008050257177182,0.0007034275421002,1.6888962245879326e-05,0.00019212653917545432
lbfs_Re300,lbfs,0.0002768892143747,0.00016756890342,0.0002197783336708,,
lbfs_Re400,lbfs,0.0003502326135641,0.0002118762344903,,,
lbfs_Re500,lbfs,0.000438246652741,0.0002683779600233,,,
lbfs_Re600,lbfs,0.0004977136998367,0.0003085374910822,,,
lbfs_Re800,lbfs,,4.983307751204672e-05,,,
pitzDaily,pitzDaily,0.003728803848473,0.0025936573231967,0.0028623186445786,0.00026556295622229997,0.0010644894860736334
pitzDaily_U15,pitzDaily,0.0034961490159135,0.0022657018974825,0.0002920396361119,0.00037124598916053335,0.0003475271746603
pitzDaily_U20,pitzDaily,0.0033846847690274,0.0022474489984874,0.0029765582304263,0.0002451934767991333,0.0004478724530206667
pm_bfs_U25,pm_bfs,,0.0148063111338212,0.0405014801573083,0.04529318078978353,0.0449497991469501
pm_bfs_U30,pm_bfs,,0.0131039528462498,0.0473721440916249,0.041730075122837405,0.045586370947254096
pm_bfs_U35,pm_bfs,0.0718391371497162,0.0108983917433025,0.041280845821774,0.036293225608944366,0.0436984959759212
pm_bfs_U44,pm_bfs,0.0646548281799946,0.0097563037200496,0.0407099218602077,0.040336750374331605,0.037797186432944864
pm_bfs_U50,pm_bfs,0.077553028914813,0.0088731788686479,0.0390025878135538,0.03637513488557743,0.040111096197013425
pm_bfs_U55,pm_bfs,0.0682299445870652,0.0096488676125388,0.0373508008550466,0.03608076201863047,0.03661675918301107
pm_bfs_U65,pm_bfs,0.0803922037665862,0.0093439118506736,0.0332866108940142,0.0324232932375497,0.033527925815142634
pm_bfs_U70,pm_bfs,0.0769678540090512,0.0083578631416795,0.0328942032530713,0.030938773689416135,0.034388671960676104
pm_bfs_U75,pm_bfs,0.0869506963874061,0.0092454294611773,0.0311028446062993,0.030825635264456464,0.033087850650483135
