family,version,method,conv,n,it_ratio_min,it_ratio_max,it_ratio_gm,T_ratio_gm,it_min,it_max,it_mean
cavity,4,jev,15,15,0.19247594050743658,0.5865896477517273,0.30780798724282354,0.8131421494602882,667.0,2036.0,1019.8666666666666
cavity,4,jeva,15,15,0.19545056867891514,0.48567221655906667,0.289495541061998,0.3789013122849045,619.0,1511.0,936.2
cavity,4,heur,5,5,0.18766404199475065,0.35338630344305716,0.22690977641957574,0.3328445222895125,602.0,934.0,717.8
cavity,3,jev,12,12,0.25284339457567806,0.41241013999243287,0.32338812318496024,0.850684078552799,769.0,1220.0,998.5
cavity,3,jeva,12,12,0.23629124004550628,0.44659644353833955,0.2968506553137715,0.400307157283134,690.0,1613.0,934.9166666666667
cavity,3,heur,4,4,0.18766404199475065,0.4454638124362895,0.26990396413578127,0.3819740678297438,679.0,1311.0,857.25
lbfs,4,jev,0,15,,,,,,,
lbfs,4,jeva,0,15,,,,,,,
lbfs,4,heur,1,5,0.273474982864976,0.273474982864976,0.273474982864976,0.2982135221171663,798.0,798.0,798.0
lbfs,3,jev,9,12,0.5435229609321454,0.5721227621483376,0.5623851358915757,0.7214483597343921,1586.0,3158.0,2327.0
lbfs,3,jeva,9,12,0.45350696824308884,0.6253196930946292,0.545449554049435,0.5553432614339857,1321.0,3160.0,2309.222222222222
lbfs,3,heur,4,4,0.40884167237834135,0.6156493388878826,0.5169483791035405,0.5256507363462236,1193.0,14072.0,5202.5
pitzDaily,4,jev,9,9,1.1091954022988506,1.4027303754266212,1.228449978651272,2.197650504056904,222.0,625.0,356.22222222222223
pitzDaily,4,jeva,9,9,0.8563218390804598,1.2320819112627985,0.9971437904483835,1.0856676290545162,208.0,477.0,291.44444444444446
pitzDaily,4,heur,3,3,0.6348122866894198,0.8379310344827586,0.6976308309203583,0.9374690871162396,180.0,243.0,203.0
pitzDaily,3,jev,6,6,1.0375426621160408,1.1914893617021276,1.111854776588817,1.998996621095748,300.0,354.0,320.0
pitzDaily,3,jeva,6,6,0.8327645051194539,0.9196217494089833,0.8751161928816416,1.0063344780643784,216.0,345.0,251.66666666666666
pitzDaily,3,heur,2,2,0.6348122866894198,0.6382978723404256,0.6365526937570973,0.8567183015124293,180.0,186.0,183.0
pm_bfs,4,jev,27,27,0.2555378344852029,0.3061650992685475,0.2878051411906298,0.5558401161175033,428.0,507.0,482.74074074074065
pm_bfs,4,jeva,27,27,0.3185993111366246,0.3907351460221551,0.35049791819889325,0.3851205294434869,482.0,865.0,598.037037037037
pm_bfs,4,heur,9,9,0.3003721424774056,0.36175548589341694,0.3378682950680789,0.40380963443345685,509.0,868.0,596.0
pm_bfs,3,jev,12,18,0.3008034489515971,0.45787545787545786,0.3714685134181365,0.6789249259308899,499.0,808.0,638.6666666666667
pm_bfs,3,jeva,10,18,0.3849016480595428,0.4838217338217338,0.433856470192531,0.4707093587955644,548.0,857.0,737.388888888889
pm_bfs,3,heur,3,6,0.393885949441505,1.6390217969165337,0.8034846959549327,0.8823003856944758,670.0,3652.0,2468.3333333333335
