case,method,status,it,itr,tr,h,dK
base,s_U95_p10,ok,642,0.48599545798637395,0.5979979331513272,10.769444444444444,0.006644849411108211
base,s_U98_p10,ok,300,0.22710068130204392,0.2925670569000355,5.268888888888889,0.024087579115228408
base,s_U99_p10,diverged,165,,,,
base,jev2,ok,287,0.21725965177895534,0.2899912081810189,5.2225,0.005814243234714134
med_x,s_U95_p10,ok,175,0.5451713395638629,0.5918318888756975,2.7694444444444444,0.049064182492597475
med_x,s_U98_p10,ok,222,0.6915887850467289,0.6077407099608215,2.843888888888889,0.02682175309594026
med_x,s_U99_p10,ok,260,0.8099688473520249,0.6653805057580434,3.113611111111111,-0.09420323038578093
med_x,jev2,ok,179,0.557632398753894,0.48498159800546126,2.2694444444444444,-0.16027632947580583
med_y,s_U95_p10,ok,126,0.5701357466063348,0.5051728711645592,1.5869444444444445,0.08910050258252866
med_y,s_U98_p10,ok,107,0.4841628959276018,0.36263153240781676,1.1391666666666667,0.020882930292787094
med_y,s_U99_p10,diverged,71,,,,
med_y,jev2,ok,103,0.4660633484162896,0.4654699796622159,1.4622222222222223,0.1684556376950752
med_z,s_U95_p10,ok,81,0.8350515463917526,0.7837476099426386,1.138611111111111,0.05974561644197518
med_z,s_U98_p10,ok,30,0.30927835051546393,0.30019120458891013,0.4361111111111111,-0.04956673364077124
med_z,s_U99_p10,false stop,27,0.27835051546391754,0.2921606118546845,0.42444444444444446,3.7763655192557977
med_z,jev2,ok,67,0.6907216494845361,0.6367112810707457,0.925,0.1420617990953943
p90_x,s_U95_p10,ok,289,0.4991364421416235,0.5564926525244439,5.406944444444444,0.02208709216529048
p90_x,s_U98_p10,ok,223,0.385146804835924,0.3376693921893762,3.2808333333333333,0.009317992007229492
p90_x,s_U99_p10,diverged,151,,,,
p90_x,jev2,ok,217,0.3747841105354059,0.39133169420778774,3.8022222222222224,-0.06729660894113643
fvc56_x,s_U95_p10,ok,205,0.5074257425742574,0.538814077175512,2.645277777777778,0.020952035474608444
fvc56_x,s_U98_p10,false stop,103,0.25495049504950495,0.25851533325789294,1.2691666666666668,-2.9733127357103983
fvc56_x,s_U99_p10,diverged,193,,,,
fvc56_x,jev2,ok,163,0.4034653465346535,0.40794387235487156,2.0027777777777778,-0.0034398864212081826
long_y,s_U95_p10,ok,691,0.4859353023909986,0.6264074735939793,11.97638888888889,0.011120808240994151
long_y,s_U98_p10,ok,334,0.2348804500703235,0.35598366967411993,6.806111111111111,0.043516206160454374
long_y,s_U99_p10,false stop,84,0.05907172995780591,0.08622818869953072,1.648611111111111,-18.938373799375785
long_y,jev2,ok,289,0.20323488045007032,0.2956457307239681,5.6525,-0.03602174843281292
