case,set,family,steps,co,default,default_clean,default_T,grid_n,grid_clean,grid_crashed,best,best_pair,best_err,heur_crashed,heur_n,heur_ok,heur,heur_sd,heur_unconv,heur_err,heur_wait,heur_calls,heur_T,heur_finalU,heur_finalp,jev_crashed,jev_n,jev_ok,jev,jev_sd,jev_unconv,jev_err,jev_wait,jev_calls,jev_T,jev_finalU,jev_finalp,jeva_crashed,jeva_n,jeva_ok,jeva,jeva_sd,jeva_unconv,jeva_err,jeva_wait,jeva_calls,jeva_T,jeva_finalU,jeva_finalp,default_err,gov_default_T,govr_n,govr_done,govr_clean,govr,govr_slow,govr_unst,govr_err,govr_T,govj_n,govj_done,govj_clean,govj,govj_slow,govj_unst,govj_err,govj_T,govja_n,govja_done,govja_clean,govja,govja_slow,govja_unst,govja_err,govja_T
cavT_Re1000_dt05,D,cavT,400,6.034637594,23.49,True,255.82,25,18,7,14.4325,0.9/0.5,0.0002930099053087,0,1,1,15.43,0.0,3.0,0.0003556400411736,0.26,0.0,163.98999999999998,0.95,0.375,0,3,3,15.43,0.0,3.0,0.0003556400411736,12.976666666666667,39.0,191.03666666666663,0.9499999999999998,0.375,0,3,3,15.458333333333334,0.0014433756729748028,3.0,0.000355308290282,0.34333333333333327,39.0,173.292185562564,0.9499999999999998,0.375,1.7733750802733154e-05,252.48999999999998,1,1,1,15.4525,0.0,0.0,0.0003308722635095,181.48999999999998,3,3,3,15.4525,0.0,0.0,0.00033087226350949993,191.54666666666665,3,3,3,15.886666666666665,0.0,0.0,0.0002997819653645667,183.65449533763706
cavT_Re1000_dt10,D,cavT,200,12.06821867,28.27,True,161.945,25,11,9,19.825,0.8/0.5,0.000249036974842,0,1,1,23.945,0.0,0.0,0.0002981427095012,0.16,0.0,146.26999999999998,0.9032,0.3,0,3,3,23.945000000000004,4.351167857633658e-15,0.0,0.0002981427095012,11.790000000000001,19.0,155.14,0.9032,0.3,0,3,3,24.038333333333338,0.0076376261582597645,0.0,0.00029800256263773334,0.18000000000000002,19.0,139.4052351227632,0.9032,0.3,0.0002580511094137,170.17999999999998,1,1,1,24.095,0.0,0.0,0.000317912055785,155.49999999999997,3,3,3,23.77,0.0,0.0,0.0002981243890601,154.32333333333332,3,3,3,24.133333333333336,0.0,0.0,0.00029758194385253334,149.36671619204841
cav3T_Re1000_dt15,D,cav3T,267,4.847299292,25.310861423220974,True,920.115,25,21,4,12.153558052434457,0.95/0.5,0.0039297680239501,0,1,1,14.790262172284644,0.0,0.0,0.00390393506268,0.17,0.0,508.55000000000007,0.9482,0.5404,0,3,3,14.97378277153558,0.0,0.0,0.0032488016594813,16.346666666666668,26.0,566.9966666666667,0.9032,0.5404,0,3,3,15.0187265917603,0.0,0.0,0.0032490024888184,0.19000000000000003,26.0,496.11,0.9032,0.5404,1.6189204773797926e-06,688.52,1,1,1,15.722846441947565,0.0,0.0,0.0032485791770188,530.54,3,3,3,15.722846441947565,0.0,0.0,0.0032485791770188,620.8333333333334,3,3,3,15.771535580524343,0.0,0.0,0.0032486081278012666,605.9636493228796
cav3T_Re1000_dt30,D,cav3T,133,9.683099731,29.05263157894737,True,557.7900000000001,25,13,7,18.082706766917294,0.9/0.5,0.0033204340170259,0,1,1,21.50375939849624,0.0,0.0,0.0040516560595235,0.1,0.0,376.09000000000003,0.9482,0.375,0,3,3,21.172932330827066,0.0,1.0,0.0035894376096272,8.206666666666665,13.0,408.9466666666666,0.9289,0.45649999999999996,0,3,3,21.293233082706767,0.0,1.0,0.0035723830969455,0.11333333333333333,13.0,380.0733333333334,0.9289,0.45649999999999996,2.96253545697516e-06,488.2,1,1,1,21.834586466165412,0.0,0.0,0.0039532067521828,424.57,3,3,3,22.969924812030076,0.0,0.0,0.0033699312113332,438.31666666666666,3,3,3,23.060150375939845,0.0,0.0,0.0033699301493159994,429.97
cylT_Re100_dt05,D,cylT,600,3.207752421284042,20.10333333333333,True,507.05,25,24,0,7.67,0.95/0.7,0.0006754440109638,0,1,1,8.921666666666667,0.0,0.0,0.0004594459650514,0.37,0.0,269.77000000000004,0.9014,0.6974,0,3,3,8.921666666666667,0.0,0.0,0.0004594459650514,18.930000000000003,59.0,271.57,0.9014000000000001,0.6974,0,3,3,9.06611111111111,0.0009622504486495267,0.0,0.0004249396880589334,0.3833333333333333,59.0,243.9089460784314,0.9014000000000001,0.6974,9.77197684179314e-07,540.63,1,1,1,9.64,0.0,0.0,0.0004081425438834,259.74999999999994,3,3,3,9.64,0.0,0.0,0.0004081424557116333,280.55,3,3,3,9.674444444444445,0.0,0.0,0.0003363107543792334,265.24946014243056
cylT_Re100_dt10,D,cylT,300,6.077323819453041,21.10333333333333,True,281.96,25,19,0,10.976666666666667,0.8/0.7,7.01768748517354e-05,0,1,1,12.736666666666666,0.0,2.0,7.328558921833653e-05,0.17,0.0,200.70999999999998,0.95,0.6221,0,3,3,12.18,0.0,0.0,7.282335322034934e-05,15.020000000000001,29.0,213.01999999999998,0.9499999999999998,0.5404,0,3,3,12.21111111111111,0.001924500897298028,0.0,7.000988958498978e-05,0.22666666666666666,29.0,195.8126637554585,0.9499999999999998,0.5404,1.7601741243184196e-06,298.49,1,1,1,12.333333333333334,0.0,0.0,7.399627193358725e-05,194.64,3,3,3,12.696666666666667,0.0,0.0,7.326928931877035e-05,218.60999999999999,3,3,3,12.843333333333334,0.0,0.0,6.436872447594375e-05,202.57159979555328
pitzT_U10_dt1,D,pitzT,1000,7.13561,22.249,True,574.765,25,20,5,9.202,0.8/0.7,9.059383321684896e-05,0,1,1,9.681,0.0,0.0,0.0001868024830039,0.67,0.0,270.49,0.9482,0.6221,0,3,3,9.774,0.0,0.0,0.0001867864379165,28.926666666666666,99.0,298.4166666666667,0.9482,0.6221,0,3,3,9.787999999999998,0.056789083458002855,0.0,0.0001866723441685667,0.61,99.0,242.74010656652797,0.9482,0.6221,6.078341373317772e-07,559.49,1,1,1,9.781,0.0,0.0,0.000158428763521,264.39,3,3,3,9.781,0.0,0.0,0.000158428763521,287.4166666666667,3,3,3,9.808666666666666,0.0,0.0,0.0001584883964895,261.0157448400149
pitzT_U10_dt2,D,pitzT,500,12.5111,23.174,True,314.305,25,18,7,11.11,0.8/0.7,0.0001263943477676,0,1,1,13.19,0.0,3.0,0.0005369891815819,0.27,0.0,177.1,0.9482,0.5404,0,3,3,13.19,0.0,3.0,0.0005369891815819,14.926666666666668,49.0,201.55666666666664,0.9482,0.5404,0,3,3,13.222,0.0,3.0,0.0005361171303196666,0.43333333333333335,49.0,182.00333333333333,0.9482,0.5404,2.523518607953337e-06,321.3,1,1,1,12.594,0.0,0.0,0.0002354935093598,172.79999999999998,3,3,3,12.594,0.0,0.0,0.0002354935093598,190.30999999999997,3,3,3,12.843333333333334,0.0,0.0,0.00023508850250136666,170.83049165120593
cavT_Re400_dt10,H,cavT,200,12.33307979,33.635,False,190.315,25,6,10,20.09,0.9/0.3,0.0001562949560975,0,1,0,,,,,,,,,,0,3,0,,,,,,,,,,0,3,0,,,,,,,,,,0.0004454441617635,202.89999999999998,1,1,0,22.215,10.0,0.0,0.0001585684115026,139.76999999999998,3,3,0,22.215,10.0,0.0,0.0001585684115026,161.6,3,3,0,22.453333333333333,13.0,0.0,0.00015857968170343334,143.0000341423588
cavT_Re2500_dt05,H,cavT,400,5.825110009,25.2075,True,256.945,25,20,5,13.995,0.8/0.7,0.0003749866281554,0,1,1,15.42,0.0,0.0,0.0008456213446489,0.22,0.0,163.04,0.9482,0.4565,0,3,3,15.42,0.0,0.0,0.0008456213446489,12.959999999999999,39.0,181.95,0.9482,0.45649999999999996,0,3,3,15.453333333333333,0.008036375634161224,0.0,0.0008445469062532,0.33,39.0,168.99449622437967,0.9499999999999998,0.45649999999999996,5.724009371212546e-06,298.09000000000003,1,1,1,15.4275,0.0,0.0,0.0008509617620415,174.15999999999997,3,3,3,15.6875,0.0,0.0,0.0007223730441558001,180.16,3,3,3,15.834999999999999,0.0,0.0,0.0006043038457847667,184.16365769712138
cav3T_Re400_dt30,H,cav3T,133,10.44015912,29.0,True,512.945,25,13,7,19.18045112781955,0.95/0.3,0.0017122111059285,1,1,0,,,,,,,,,,3,3,0,,,,,,,,,,3,3,0,,,,,,,,,,2.425240511321821e-06,467.65000000000003,1,1,1,22.0,0.0,0.0,0.0015911824685355,386.22,3,3,3,23.1203007518797,0.0,0.0,0.0014159181550732001,466.28999999999996,3,3,3,23.318295739348372,0.0,0.0,0.0014159181455867668,442.40744795020396
cav3T_Re2000_dt15,H,cav3T,267,4.399186015,26.04119850187266,True,823.2500000000001,25,22,2,12.329588014981274,0.95/0.5,0.0082571974378355,0,1,1,14.895131086142323,0.0,0.0,0.0079397979166234,0.17,0.0,530.76,0.9482,0.5404,0,3,3,14.318352059925095,2.175583928816829e-15,0.0,0.0074349930675314995,16.063333333333333,26.0,549.7233333333334,0.9289,0.6221,0,3,3,14.415730337078651,0.0,0.0,0.0074019345043371,0.20333333333333334,26.0,534.1933333333334,0.9289,0.6221,3.177700181365036e-06,893.4100000000001,1,1,1,15.086142322097379,0.0,0.0,0.0071473583243188,532.82,3,3,3,15.344569288389513,0.0,0.0,0.006750168391416599,558.0066666666667,3,3,3,15.40574282147316,0.0,0.0,0.0066760979160685,545.3544003891996
cylT_Re150_dt05,H,cylT,600,4.833006525483404,20.053333333333335,True,559.12,25,24,0,8.101666666666667,0.95/0.7,0.0464100701799415,0,1,1,9.755,0.0,0.0,0.013801725154703,0.38,0.0,317.36,0.8235,0.7634,0,3,3,9.813333333333333,0.0,0.0,0.0137621375237748,19.963333333333335,59.0,314.6333333333333,0.8235,0.7634,0,3,3,9.846666666666666,0.0,0.0,0.011938927595171865,0.48,59.0,291.02000000000004,0.8235,0.7634,0.0003177535192911,550.9300000000001,1,1,1,10.55,0.0,0.0,0.0139509553019062,323.40000000000003,3,3,3,10.55,0.0,0.0,0.0139509264073482,357.21666666666664,3,3,3,10.556111111111113,0.0,0.0,0.007719166525383865,322.9800199443657
cylT_Re60_dt10,H,cylT,300,3.619636228681071,20.563333333333333,True,275.755,25,19,0,9.763333333333334,0.95/0.5,3.534802499528372e-05,0,1,1,10.69,0.0,0.0,3.208181046979451e-05,0.18,0.0,165.07999999999998,0.9289,0.6221,0,3,3,10.69,0.0,0.0,3.208181046979451e-05,11.383333333333333,29.0,178.6033333333333,0.9289,0.6221,0,3,3,10.774444444444446,0.003849001794598107,0.0,3.182617954447968e-05,0.22999999999999998,29.0,159.2920076343753,0.9289,0.6221,9.191708643269812e-08,302.03000000000003,1,1,1,11.616666666666667,0.0,0.0,2.9054794300376394e-05,173.23,3,3,3,11.616666666666667,0.0,0.0,2.9054794300376394e-05,177.92999999999998,3,3,3,11.675555555555555,0.0,0.0,2.9047406548870423e-05,171.89105273177228
pitzT_U20_dt1,H,pitzT,1000,12.5385,23.04,True,523.145,25,18,7,10.592,0.8/0.7,0.0001163595413154,0,1,1,11.867,0.0,4.0,0.0002782512156482,0.73,0.0,310.11,0.9482,0.5404,0,3,3,11.868333333333334,0.0023094010767582486,4.0,0.00027855197195593336,29.22,99.0,337.8436900648859,0.9482,0.5404,0,3,3,11.881,0.0009999999999994458,4.0,0.0002789505158329667,0.8566666666666666,99.0,305.9516102693603,0.9482,0.5404,7.346004987067813e-07,567.27,1,1,1,11.793,0.0,0.0,0.0002295661353699,312.48,3,3,3,11.793,0.0,0.0,0.0002295661353699,334.62,3,3,3,11.937,0.0,0.3333333333333333,0.00023323410858550002,286.75175583216554
pitzT_U5_dt2,H,pitzT,500,7.11473,22.1,True,291.005,25,20,5,9.42,0.8/0.7,0.0006324556956737,0,1,1,10.552,0.0,0.0,0.0001931009118916,0.28,0.0,145.23999999999998,0.9482,0.5404,0,3,3,10.552,0.0,0.0,0.0001931009118916,14.583333333333334,49.0,159.58333333333331,0.9482,0.5404,0,3,3,10.592666666666666,0.0023094010767582486,0.0,0.00019130260953386668,0.4000000000000001,49.0,138.37373293058963,0.9482,0.5404,2.8848843972124343e-06,278.85,1,1,1,10.568,0.0,0.0,0.000167146873887,143.70999999999998,3,3,3,10.568,0.0,0.0,0.00016714687388699997,161.2733333333333,3,3,3,10.704,0.0,0.0,0.00015983257697453333,135.45602634054563
