case,set,family,default_ok,default_it,default_T,default_wall_min,default_wall_max,default_n,grid_n,grid_conv,oracle_it,oracle_pair,oracle_T,oracle_err,grid_T,default_err,heur_n,heur_conv,heur_it,heur_it_min,heur_it_max,heur_wait,heur_calls,heur_T,heur_wall_raw,heur_err,heur_finalU_min,heur_finalU_max,jev_n,jev_conv,jev_it,jev_it_min,jev_it_max,jev_wait,jev_calls,jev_T,jev_wall_raw,jev_err,jev_finalU_min,jev_finalU_max,jeva_n,jeva_conv,jeva_it,jeva_it_min,jeva_it_max,jeva_wait,jeva_calls,jeva_T,jeva_wall_raw,jeva_err,jeva_finalU_min,jeva_finalU_max
cavity_Re100,D,cavity,True,3810.0,90.39,68.35,96.18,5,25,22,1221.0,0.9/0.1,35.62644811266305,0.0008079040003617,2293.7336666666665,0.0008892930492045,1,1,715.0,715.0,715.0,0.06,71.0,25.789999999999992,24.86,0.0009542631214956,0.95,0.95,3,3,963.3333333333334,953.0,971.0,29.373333333333335,96.0,58.820804477089894,57.599999999999994,0.0008869755847889333,0.9276,0.9288,3,3,965.6666666666666,958.0,980.0,0.0,83.33333333333333,30.153454987834543,27.48,0.0008868002083687667,0.9275,0.9288
cavity_Re400,D,cavity,True,2930.0,62.56999999999999,60.24,72.89,5,25,22,910.0,0.9/0.3,25.071720902864584,0.0007369676156006,1826.5870375426623,0.0006914953349989,1,1,679.0,679.0,679.0,0.05,67.0,22.279999999999994,21.77,0.0008233290320816,0.9314,0.9314,3,3,777.6666666666666,769.0,782.0,22.896666666666665,77.33333333333333,49.20004688832054,50.06333333333333,0.0008130350413305332,0.9276,0.9276,3,3,692.3333333333334,690.0,697.0,0.0,61.0,24.008850241545893,22.78333333333333,0.0008234274023700999,0.9314,0.9314
cavity_Re700,H1,cavity,True,2643.0,61.32000000000001,56.22,65.16,3,25,21,850.0,0.9/0.2,24.998418918918922,0.0007747508648455,1591.0529549754067,0.0010310793598478,1,1,724.0,724.0,724.0,0.06,72.0,23.269999999999996,21.94,0.0008330007965899,0.9314,0.9314,3,3,1090.0,890.0,1190.0,31.13666666666667,108.0,62.90095238095238,62.98333333333333,0.0007384517303066,0.865,0.9032,3,3,767.3333333333334,694.0,889.0,0.0,67.0,24.43289145052833,23.41333333333333,0.0008123598699543333,0.9015,0.9314
cavity_Re1000,D,cavity,True,2943.0,67.97,63.55,80.69,5,25,20,1027.0,0.9/0.1,29.46842328082611,0.0008050257177182,1793.632432891607,0.0014408193935207,1,1,1311.0,1311.0,1311.0,0.11,131.0,37.53,40.96,0.0008525014888358,0.9314,0.9314,3,3,1163.0,1075.0,1220.0,33.596666666666664,115.66666666666667,67.81495503875969,69.22000000000001,0.0008347830663919999,0.9015,0.9314,3,3,1314.3333333333333,1008.0,1613.0,0.0,108.33333333333333,34.22126575895108,34.89,0.0008383490157887666,0.8673,0.929
lbfs_Re300,H1,lbfs,True,2918.0,420.94,342.09,435.5,3,25,19,1839.0,0.8/0.3,269.7799589024441,0.00016756890342,16153.58797806717,0.0002768892143747,1,1,1193.0,1193.0,1193.0,0.09,119.0,175.53,179.89,0.0001373736294613,0.8318,0.8318,3,3,1586.0,1586.0,1586.0,43.653333333333336,158.0,322.3933333333334,330.67333333333335,0.0001426136731972,0.8264,0.8264,3,3,1323.3333333333333,1321.0,1327.0,0.0,132.0,199.51741805345435,214.41,6.215948457550379e-05,0.8695,0.8695
lbfs_Re400,D,lbfs,True,3910.0,606.0600000000001,450.98,713.27,5,25,19,2479.0,0.8/0.3,427.95917853864296,0.0002118762344903,21872.499913043477,0.0003502326135641,1,1,2146.0,2146.0,2146.0,0.19,214.0,330.46,336.45,0.000236788802752,0.7794,0.7794,3,3,2237.0,2237.0,2237.0,62.403333333333336,223.0,423.7433333333333,430.77,0.00018083290636250002,0.8264,0.8264,3,3,2445.0,2235.0,2865.0,0.0,244.0,372.80486910994756,467.42333333333335,0.00020394855872406668,0.7692,0.8264
lbfs_Re600,H1,lbfs,True,5521.0,856.1200000000001,636.5,1128.35,3,25,18,3525.0,0.8/0.3,602.5776737376962,0.0003085374910822,25898.701247962326,0.0004977136998367,1,1,3399.0,3399.0,3399.0,0.33,339.0,546.8800000000001,726.32,0.0003424573776159,0.7794,0.7794,3,3,3158.0,3158.0,3158.0,92.14999999999999,315.0,600.34,752.68,0.0002667524693267,0.8264,0.8264,3,3,3159.3333333333335,3159.0,3160.0,0.0,313.0,502.91268333860927,638.23,0.0002670759796459667,0.8264,0.8264
lbfs_Re800,D,lbfs,False,,,2086.63,2792.11,5,25,3,6568.0,0.8/0.3,834.938358803895,4.983307751204672e-05,54028.58536,0.0012150520120792,1,1,14072.0,14072.0,14072.0,2.15,1407.0,1822.4000000000003,1851.26,4.775524367063888e-05,0.7794,0.7794,3,0,,,,,,,,,,,3,0,,,,,,,,,,
pitzDaily,D,pitzDaily,True,282.0,12.129999999999997,10.84,17.88,5,35,30,196.0,0.95/1.0,10.305283018867922,0.0026273716698175,2103.0899999999997,0.0037495318735657,1,1,180.0,180.0,180.0,0.02,17.0,10.489999999999997,10.14,0.0028952889569741,0.9292,0.9292,3,3,336.0,300.0,354.0,10.353333333333333,33.0,26.215367231638417,26.173333333333332,0.00040452058270979996,0.9477,0.9626,3,3,259.3333333333333,216.0,345.0,0.0,24.0,13.23628264208909,12.653333333333334,0.0011490954150248332,0.9279,0.9612
pitzDaily_U20,H1,pitzDaily,True,293.0,13.219999999999997,12.02,26.6,3,35,30,199.0,0.95/1.0,11.25334406017221,0.0022596635559677,1940.15,0.0033941731858955,1,1,186.0,186.0,186.0,0.02,18.0,11.219999999999995,13.44,0.002989497485888,0.9292,0.9292,3,3,304.0,304.0,304.0,8.833333333333334,30.0,24.443333333333328,29.736666666666668,0.0002520116274301,0.9726,0.9726,3,3,244.0,221.0,290.0,0.0,22.333333333333332,12.269049773755654,13.093333333333334,0.0009546678229518001,0.9473,0.973
pm_bfs_U25,D,pm_bfs,False,,,134.63,182.02,5,35,25,403.0,0.98/0.9,21.556726996651207,0.2284703648942712,3438.47,0.1001028909059045,1,1,3652.0,3652.0,3652.0,0.44,365.0,174.48999999999998,180.08,0.228078087193229,0.7447,0.7447,3,0,,,,,,,,,,,3,1,769.0,769.0,769.0,0.0,76.0,38.2484425,42.36,0.2316971111389954,0.8909,0.8909
pm_bfs_U35,H1,pm_bfs,True,1701.0,74.82,59.1,76.32,3,35,26,406.0,0.98/0.9,22.95682792811551,0.0157390046151832,2694.0499999999997,0.071005023986199,1,1,670.0,670.0,670.0,0.07,66.0,35.12,34.8,0.0396866770454574,0.9196,0.9196,3,3,511.6666666666667,499.0,537.0,14.993333333333332,50.333333333333336,41.16254509018036,58.16666666666668,0.0363715026055228,0.9412,0.9573,3,1,787.0,787.0,787.0,0.0,75.0,36.03,41.1,0.0358249687489744,0.8909,0.8909
pm_bfs_U44,D,pm_bfs,True,1881.0,81.71,79.36,86.57,5,35,27,405.0,0.98/0.9,21.374528305437586,0.0156055753075696,2811.4699999999993,0.0651084838060503,1,1,3083.0,3083.0,3083.0,0.33,308.0,135.51,139.4,0.0056577427932377,0.5981,0.5981,3,3,703.0,703.0,703.0,21.423333333333332,70.0,58.57333333333333,58.46666666666667,0.0355436302534449,0.8888,0.8888,3,1,724.0,724.0,724.0,0.0,71.0,33.64772,36.02,0.0373594530017317,0.9196,0.9196
