case,family,ctl_conv,ack_conv,ctl_it,ack_it,ctl_it_sd,ack_it_sd,ctl_calls,ack_calls
cavity_Re100,cavity,3,3,755.6666666666666,789.3333333333334,5.859465277082315,47.59551799627075,62.666666666666664,59.333333333333336
cavity_Re250,cavity,3,3,678.6666666666666,813.0,10.503967504392488,25.865034312755125,58.0,58.333333333333336
cavity_Re400,cavity,3,3,664.3333333333334,976.3333333333334,95.08066750572029,378.31776766804563,52.0,60.333333333333336
cavity_Re700,cavity,3,3,1081.3333333333333,931.0,147.31372418526843,37.5099986670221,86.33333333333333,53.666666666666664
cavity_Re1000,cavity,3,3,1660.6666666666667,2304.0,51.39390365922142,767.7734040718003,119.0,140.0
lbfs_Re300,lbfs,0,0,,,,,,
lbfs_Re400,lbfs,0,0,,,,,,
lbfs_Re500,lbfs,0,0,,,,,,
lbfs_Re600,lbfs,0,0,,,,,,
lbfs_Re800,lbfs,0,0,,,,,,
pitzDaily,pitzDaily,3,3,398.3333333333333,261.0,111.5093419105921,37.242448899072144,35.666666666666664,17.666666666666668
pitzDaily_U15,pitzDaily,3,3,275.6666666666667,402.0,81.05142400558631,161.39702599490488,24.666666666666668,28.333333333333332
pitzDaily_U20,pitzDaily,3,3,375.3333333333333,303.3333333333333,33.20140559273558,97.1099033741324,33.0,20.333333333333332
pm_bfs_U25,pm_bfs,3,3,566.0,579.3333333333334,41.677331968349414,79.19806394940052,55.0,44.0
pm_bfs_U30,pm_bfs,3,3,749.3333333333334,512.6666666666666,139.01918332853685,49.90323970779185,73.0,39.333333333333336
pm_bfs_U35,pm_bfs,3,3,562.0,546.6666666666666,15.716233645501712,139.80820195300893,53.666666666666664,41.666666666666664
pm_bfs_U44,pm_bfs,3,3,576.3333333333334,600.3333333333334,51.00326786916043,80.88469158829335,55.0,45.0
pm_bfs_U50,pm_bfs,3,3,507.0,531.0,60.852280154485584,15.716233645501712,49.0,39.333333333333336
pm_bfs_U55,pm_bfs,3,3,581.6666666666666,527.3333333333334,99.39986586174717,37.018013633004855,56.666666666666664,40.666666666666664
pm_bfs_U65,pm_bfs,3,3,617.0,558.6666666666666,102.01470482239313,48.911484677254826,59.333333333333336,43.0
pm_bfs_U70,pm_bfs,3,3,578.6666666666666,583.3333333333334,11.503622617824933,24.785748593361735,56.666666666666664,46.333333333333336
pm_bfs_U75,pm_bfs,3,3,569.0,562.6666666666666,13.45362404707371,17.214335111567145,55.0,41.666666666666664
