case,method,iteration,rel_l2,p99_over_mean,max_over_mean
base,jev1,284,1.233384e-04,7.981450e-04,2.197726e-03
base,jev2,287,1.494344e-04,1.030127e-03,2.197129e-03
base,s_U95_p10,642,9.759682e-05,5.909175e-04,1.379331e-03
fvc56_x,jev1,143,4.122053e-03,2.883959e-02,4.175578e-02
fvc56_x,jev2,163,2.072541e-04,1.288843e-03,7.128842e-03
fvc56_x,s_U95_p10,205,3.765294e-04,2.547831e-03,6.363536e-03
long_y,jev1,297,5.204314e-04,3.790340e-03,6.988849e-03
long_y,jev2,289,9.319328e-04,7.116914e-03,1.021903e-02
long_y,s_U95_p10,691,1.539576e-04,8.866886e-04,3.852712e-03
med_x,jev1,179,6.072332e-03,5.945141e-02,1.185273e-01
med_x,jev2,179,6.072332e-03,5.945141e-02,1.185273e-01
med_x,s_U95_p10,175,1.049766e-03,1.032576e-02,1.693469e-02
med_y,jev1,96,3.721884e-03,2.587218e-02,2.359425e-01
med_y,jev2,103,3.951248e-03,3.062494e-02,2.396404e-01
med_y,s_U95_p10,126,2.213634e-03,1.462001e-02,1.538849e-01
med_z,jev1,67,1.522286e-02,7.126554e-02,8.708307e-01
med_z,jev2,67,1.522286e-02,7.126554e-02,8.708307e-01
med_z,s_U95_p10,81,5.259726e-03,3.915345e-02,1.111654e-01
p90_x,jev1,90,4.859338e-01,1.079832e+00,2.424473e+02
p90_x,jev2,217,1.680235e-03,1.286386e-02,2.012246e-02
p90_x,s_U95_p10,289,3.795784e-04,2.609681e-03,1.678272e-02
