case,method,run,finished,diverged,converged,fatal,iterations,exec_s,wall_s,startup_s,run_s,clock_s,perm,start_epoch,end_epoch
base,default,base_ref,True,False,True,False,1321,64671.8,64994.1,157.0,64833.0,64990.0,1.20394e-11,1789723154.0754406,1789788148.1631608
base,s_U95_p10,base_s_U95_p10,True,False,True,False,642,38749.3,38944.6,170.0,38770.0,38940.0,1.20402e-11,1789723752.9389923,1789762697.5016818
base,s_U98_p10,base_s_U98_p10,True,False,True,False,300,19041.0,19154.0,179.0,18968.0,19147.0,1.20423e-11,1789846066.0851927,1789865220.0536313
base,s_U99_p10,base_s_U99_p10,False,True,False,False,165,12118.6,,201.0,11980.0,12181.0,-1.61935e-08,1789846065.9198725,
base,jev1,base_jev1,True,False,True,False,284,18921.4,19023.8,162.0,18857.0,19019.0,1.20396e-11,1789745490.1756053,1789764513.97089
base,jev2,base_jevrr,True,False,True,False,287,18795.0,18994.3,187.0,18801.0,18988.0,1.20401e-11,1789815748.0310562,1789834742.3602197
med_x,default,fg_med_x_default,True,False,True,False,321,16990.4,20619.8,3767.0,16846.0,20613.0,1.52861e-12,1789745490.759624,1789766110.5880456
med_x,s_U95_p10,fg_med_x_s_U95_p10,True,False,True,False,175,10113.3,13753.2,3778.0,9970.0,13748.0,1.52936e-12,1789745492.1562889,1789759245.355243
med_x,s_U98_p10,fg_med_x_s_U98_p10,True,False,True,False,222,10376.6,10509.1,263.0,10238.0,10501.0,1.52902e-12,1789846066.3822424,1789856575.519432
med_x,s_U99_p10,fg_med_x_s_U99_p10,True,False,True,False,260,11369.4,11492.0,277.0,11209.0,11486.0,1.52717e-12,1789846066.3720202,1789857558.4208148
med_x,jev1,fg_med_x_jev,True,False,True,False,179,8601.11,12213.5,3767.0,8440.0,12207.0,1.52616e-12,1789745491.7249088,1789757705.1840398
med_x,jev2,fg_med_x_jevrr,True,False,True,False,179,8300.49,8399.2,224.0,8170.0,8394.0,1.52616e-12,1789816106.5220046,1789824505.7535794
med_y,default,fg_med_y_default,True,False,True,False,221,11413.9,14998.1,3686.0,11309.0,14995.0,2.15487e-13,1789745490.460764,1789760488.6047556
med_y,s_U95_p10,fg_med_y_s_U95_p10,True,False,True,False,126,5837.66,9415.1,3698.0,5713.0,9411.0,2.15679e-13,1789745491.3284702,1789754906.424962
med_y,s_U98_p10,fg_med_y_s_U98_p10,True,False,True,False,107,4225.1,4321.7,214.0,4101.0,4315.0,2.15532e-13,1789846066.38209,1789850388.1101608
med_y,s_U99_p10,fg_med_y_s_U99_p10,False,True,False,False,71,11929.1,,225.0,11809.0,12034.0,3.91549e-11,1789846066.2822695,
med_y,jev1,fg_med_y_jev,True,False,True,False,96,4853.02,8413.3,3688.0,4721.0,8409.0,2.15746e-13,1789745489.541402,1789753902.8082788
med_y,jev2,fg_med_y_jevrr,True,False,True,False,103,5366.19,5447.7,179.0,5264.0,5443.0,2.1585e-13,1789816105.6500404,1789821553.3909137
med_z,default,fg_med_z_default,True,False,True,False,97,5413.48,6678.5,1443.0,5230.0,6673.0,2.25958e-13,1789745490.5902085,1789752169.1163657
med_z,s_U95_p10,fg_med_z_s_U95_p10,True,False,True,False,81,4239.58,5551.0,1447.0,4099.0,5546.0,2.26093e-13,1789745490.8507798,1789751041.8137739
med_z,s_U98_p10,fg_med_z_s_U98_p10,True,False,True,False,30,1775.47,1813.4,231.0,1570.0,1801.0,2.25846e-13,1789846066.6665008,1789847880.0326366
med_z,s_U99_p10,fg_med_z_s_U99_p10,True,False,True,False,27,1736.69,1781.0,247.0,1528.0,1775.0,2.34491e-13,1789846066.706066,1789847847.6830401
med_z,jev1,fg_med_z_jev,True,False,True,False,67,3662.67,4963.7,1445.0,3513.0,4958.0,2.26279e-13,1789745490.6366546,1789750454.2954469
med_z,jev2,fg_med_z_jevrr,True,False,True,False,67,3476.09,3553.5,217.0,3330.0,3547.0,2.26279e-13,1789816105.163829,1789819658.687961
p90_x,default,fg_p90_x_default,True,False,True,False,579,34907.7,36364.8,1382.0,34978.0,36360.0,2.89762e-12,1789745490.1768706,1789781854.9928637
p90_x,s_U95_p10,fg_p90_x_s_U95_p10,True,False,True,False,289,19546.9,20855.7,1386.0,19465.0,20851.0,2.89826e-12,1789745490.5732543,1789766346.2656863
p90_x,s_U98_p10,fg_p90_x_s_U98_p10,True,False,True,False,223,11839.6,12025.9,207.0,11811.0,12018.0,2.89789e-12,1789846066.5034537,1789858092.3800561
p90_x,s_U99_p10,fg_p90_x_s_U99_p10,False,True,False,False,151,12136.9,,219.0,11992.0,12211.0,-2.23547e-05,1789846066.2787807,
p90_x,jev1,fg_p90_x_jev,True,False,True,False,90,6703.63,7948.1,1384.0,6559.0,7943.0,2.82888e-12,1789745490.1350372,1789753438.2454758
p90_x,jev2,fg_p90_x_jevrr,True,False,True,False,217,13742.6,13878.3,183.0,13688.0,13871.0,2.89567e-12,1789816106.5912726,1789829984.877675
fvc56_x,default,fg_fvc56_x_default,True,False,True,False,404,17714.8,17908.5,230.0,17674.0,17904.0,3.19778e-12,1789745490.4460845,1789763398.9483743
fvc56_x,s_U95_p10,fg_fvc56_x_s_U95_p10,True,False,True,False,205,9620.04,9764.8,238.0,9523.0,9761.0,3.19845e-12,1789745491.4538245,1789755256.241761
fvc56_x,s_U98_p10,fg_fvc56_x_s_U98_p10,True,False,True,False,103,4683.45,4748.6,170.0,4569.0,4739.0,3.1027e-12,1789846066.7075794,1789850815.2791107
fvc56_x,s_U99_p10,fg_fvc56_x_s_U99_p10,False,True,False,False,193,12040.2,,183.0,12028.0,12211.0,-1.62056e-06,1789846066.620917,
fvc56_x,jev1,fg_fvc56_x_jev,True,False,True,False,143,6429.48,6570.0,231.0,6335.0,6566.0,3.19067e-12,1789745491.090958,1789752061.1158628
fvc56_x,jev2,fg_fvc56_x_jevrr,True,False,True,False,163,7304.53,7367.4,153.0,7210.0,7363.0,3.19767e-12,1789816106.8761325,1789823474.2923312
