api_latency_s,api_retries,async,async_applied_at,cap,clock_s,co_max,completed,controller_wait_s,decisions,exec_s,fatal,final_U,final_p,group,guards,host,init,interval,lin_p_total,method,model_calls,n_changes,outer_max,outer_total,path,rc,run,steps,steps_planned,template,tight,u_err_l2,unconverged_steps,wall_s
0,0,False,[],50,992.0,4.847299292,True,0.0,0,981.23,False,0.7,0.3,t_grid,0,node126,,0,17534,static,0,0,31,6758,,0,cav3T_Re1000_dt15__default,267,267,cav3T_Re1000_dt15,0,1.6189204773797926e-06,0,993.49
0,0,False,[],50,1515.0,4.847901133,True,0.0,0,1501.16,False,0.5,0.2,t_grid,0,node126,0.5 0.2,0,31050,static,0,0,48,10785,,0,cav3T_Re1000_dt15__grid_U0.5_p0.2,267,267,cav3T_Re1000_dt15,0,0.003802168908114789,0,1516.89
0,0,False,[],50,1095.0,4.847925456,True,0.0,0,1082.23,False,0.5,0.3,t_grid,0,node126,0.5 0.3,0,23552,static,0,0,44,8234,,0,cav3T_Re1000_dt15__grid_U0.5_p0.3,267,267,cav3T_Re1000_dt15,0,0.0038034048057076727,0,1096.43
0,0,False,[],50,1006.0,4.847944902,True,0.0,0,927.6,False,0.5,0.5,t_grid,0,node126,0.5 0.5,0,18511,static,0,0,44,6385,,0,cav3T_Re1000_dt15__grid_U0.5_p0.5,267,267,cav3T_Re1000_dt15,0,0.0038004510099854867,0,1007.38
0,0,False,[],50,873.0,4.847945513,True,0.0,0,863.86,False,0.5,0.7,t_grid,0,node126,0.5 0.7,0,16736,static,0,0,44,5831,,0,cav3T_Re1000_dt15__grid_U0.5_p0.7,267,267,cav3T_Re1000_dt15,0,0.0037977196899703315,0,874.82
0,0,False,[],50,964.0,4.847945785,True,0.0,0,952.09,False,0.5,0.9,t_grid,0,node126,0.5 0.9,0,16408,static,0,0,44,5619,,0,cav3T_Re1000_dt15__grid_U0.5_p0.9,267,267,cav3T_Re1000_dt15,0,0.0037928520337752493,0,967.96
0,0,False,[],50,1478.0,4.847298534,True,0.0,0,1397.18,False,0.7,0.2,t_grid,0,node126,0.7 0.2,0,22827,static,0,0,41,9885,,0,cav3T_Re1000_dt15__grid_U0.7_p0.2,267,267,cav3T_Re1000_dt15,0,1.1962597299560827e-06,0,1479.88
0,0,False,[],50,793.0,4.847299292,True,0.0,0,787.42,False,0.7,0.3,t_grid,0,node126,0.7 0.3,0,17534,static,0,0,31,6758,,0,cav3T_Re1000_dt15__grid_U0.7_p0.3,267,267,cav3T_Re1000_dt15,0,1.6189204773797926e-06,0,794.93
0,0,False,[],50,728.0,4.847316058,True,0.0,0,656.49,False,0.7,0.5,t_grid,0,node126,0.7 0.5,0,13285,static,0,0,25,4572,,0,cav3T_Re1000_dt15__grid_U0.7_p0.5,267,267,cav3T_Re1000_dt15,0,4.001467102654959e-06,0,729.08
0,0,False,[],50,672.0,4.847320584,True,0.0,0,598.61,False,0.7,0.7,t_grid,0,node126,0.7 0.7,0,11767,static,0,0,25,4015,,0,cav3T_Re1000_dt15__grid_U0.7_p0.7,267,267,cav3T_Re1000_dt15,0,5.353345780296701e-06,0,673.76
0,0,False,[],50,511.0,4.847319737,True,0.0,0,505.46,False,0.7,0.9,t_grid,0,node126,0.7 0.9,0,11872,static,0,0,25,4022,,0,cav3T_Re1000_dt15__grid_U0.7_p0.9,267,267,cav3T_Re1000_dt15,0,2.6986663248362467e-05,0,511.71
0,0,False,[],50,1015.0,4.84700784,True,0.0,0,1008.13,False,0.8,0.2,t_grid,0,node126,0.8 0.2,0,20178,static,0,0,42,9364,,0,cav3T_Re1000_dt15__grid_U0.8_p0.2,267,267,cav3T_Re1000_dt15,0,0.0016626481281824675,0,1016.24
