api_latency_s,api_retries,async,async_applied_at,cap,clock_s,co_max,completed,controller_wait_s,decisions,exec_s,fatal,final_U,final_p,governor_summary,group,guards,host,init,interval,lin_p_total,method,model_calls,n_changes,outer_max,outer_total,path,rc,run,slow_capped_steps,steps,steps_planned,template,tight,u_err_l2,unconverged_steps,unstable_steps,wall_s
0,0,False,[],50,686.0,4.847299292,True,0.0,0,679.78,False,0.7,0.3,,t_gov,0,node300,,0,17534,static,0,0,31,6758,,0,cav3T_Re1000_dt15__default,,267,267,cav3T_Re1000_dt15,0,1.6189204773797926e-06,0,,687.75
15.3,,True,,50,550.0,,True,,26,543.35,False,0.9032,0.516,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4212, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.516}}",t_gov,,node062,,10,,gov_jev,26,,31,4212,,0,cav3T_Re1000_dt15__govJev_async_r0,0,267,267,cav3T_Re1000_dt15,,0.0032486112068546235,0,0,551.53
16.15,,True,,50,613.0,,True,,26,603.8,False,0.9032,0.516,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4212, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.516}}",t_gov,,node062,,10,,gov_jev,26,,31,4212,,0,cav3T_Re1000_dt15__govJev_async_r1,0,267,267,cav3T_Re1000_dt15,,0.0032486112068546235,0,0,614.59
16.13,,True,,50,618.0,,True,,26,596.94,False,0.9032,0.516,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4209, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.516}}",t_gov,,node062,,10,,gov_jev,26,,31,4209,,0,cav3T_Re1000_dt15__govJev_async_r2,0,267,267,cav3T_Re1000_dt15,,0.003248601969694691,0,0,622.35
15.73,,False,,50,646.0,,True,,26,604.53,False,0.9032,0.516,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4198, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.516}}",t_gov,,node062,,10,,gov_jev,26,,31,4198,,0,cav3T_Re1000_dt15__govJev_r0,0,267,267,cav3T_Re1000_dt15,,0.0032485791770188763,0,0,650.2
15.45,,False,,50,580.0,,True,,26,551.85,False,0.9032,0.516,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4198, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.516}}",t_gov,,node062,,10,,gov_jev,26,,31,4198,,0,cav3T_Re1000_dt15__govJev_r1,0,267,267,cav3T_Re1000_dt15,,0.0032485791770188763,0,0,581.35
16.53,,False,,50,639.0,,True,,26,596.19,False,0.9032,0.516,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4198, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.516}}",t_gov,,node062,,10,,gov_jev,26,,31,4198,,0,cav3T_Re1000_dt15__govJev_r2,0,267,267,cav3T_Re1000_dt15,,0.0032485791770188763,0,0,643.07
0,,False,,50,528.0,,True,,26,521.8,False,0.9032,0.516,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4198, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.516}}",t_gov,,node300,,10,,gov_rules,0,,31,4198,,0,cav3T_Re1000_dt15__govRules,0,267,267,cav3T_Re1000_dt15,,0.0032485791770188763,0,0,529.62
0,0,False,[],50,486.0,9.683099731,True,0.0,0,479.46,False,0.7,0.3,,t_gov,0,node062,,0,11102,static,0,0,37,3864,,0,cav3T_Re1000_dt30__default,,133,133,cav3T_Re1000_dt30,0,2.9625354569751597e-06,0,,487.6
7.8,,True,,50,437.0,,True,,13,429.79,False,0.9032,0.3396,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 3067, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3396}}",t_gov,,node300,,10,,gov_jev,13,,37,3067,,0,cav3T_Re1000_dt30__govJev_async_r0,0,133,133,cav3T_Re1000_dt30,,0.003369930149316002,0,0,437.51
7.87,,True,,50,373.0,,True,,13,368.39,False,0.9032,0.3396,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 3067, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3396}}",t_gov,,node300,,10,,gov_jev,13,,37,3067,,0,cav3T_Re1000_dt30__govJev_async_r1,0,133,133,cav3T_Re1000_dt30,,0.003369930149316002,0,0,375.24
7.8,,True,,50,445.0,,True,,13,421.23,False,0.9032,0.3396,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 3067, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3396}}",t_gov,,node300,,10,,gov_jev,13,,37,3067,,0,cav3T_Re1000_dt30__govJev_async_r2,0,133,133,cav3T_Re1000_dt30,,0.003369930149316002,0,0,450.39
7.98,,False,,50,463.0,,True,,13,432.3,False,0.9032,0.3396,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 3055, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3396}}",t_gov,,node062,,10,,gov_jev,13,,37,3055,,0,cav3T_Re1000_dt30__govJev_r0,0,133,133,cav3T_Re1000_dt30,,0.0033699312113332175,0,0,466.08
7.64,,False,,50,456.0,,True,,13,421.79,False,0.9032,0.3396,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 3055, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3396}}",t_gov,,node300,,10,,gov_jev,13,,37,3055,,0,cav3T_Re1000_dt30__govJev_r1,0,133,133,cav3T_Re1000_dt30,,0.0033699312113332175,0,0,461.59
7.74,,False,,50,448.0,,True,,13,412.8,False,0.9032,0.3396,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 3055, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3396}}",t_gov,,node300,,10,,gov_jev,13,,37,3055,,0,cav3T_Re1000_dt30__govJev_r2,0,133,133,cav3T_Re1000_dt30,,0.0033699312113332175,0,0,452.85
0,,False,,50,436.0,,True,,13,415.83,False,0.9416,0.4254,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 2904, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9416, 'p': 0.4254}}",t_gov,,node062,,10,,gov_rules,0,,37,2904,,0,cav3T_Re1000_dt30__govRules,0,133,133,cav3T_Re1000_dt30,,0.003953206752182845,0,0,438.69
0,0,False,[],50,894.0,4.399186015,True,0.0,0,884.67,False,0.7,0.3,,t_gov,0,node062,,0,17092,static,0,0,30,6953,,0,cav3T_Re2000_dt15__default,,267,267,cav3T_Re2000_dt15,0,3.177700181365036e-06,0,,895.68
15.39,,True,,50,468.0,,True,,26,463.24,False,0.9032,0.5613,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4113, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.5613}}",t_gov,,node300,,10,,gov_jev,26,,30,4113,,0,cav3T_Re2000_dt15__govJev_async_r0,0,267,267,cav3T_Re2000_dt15,,0.006678397331207149,0,0,469.85
15.65,,True,,50,551.0,,True,,26,536.31,False,0.9032,0.5613,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4111, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.5613}}",t_gov,,node300,,10,,gov_jev,26,,30,4111,,0,cav3T_Re2000_dt15__govJev_async_r1,0,267,267,cav3T_Re2000_dt15,,0.006707280162627531,0,0,556.47
15.84,,True,,50,556.0,,True,,26,549.15,False,0.9032,0.5613,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4116, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.5613}}",t_gov,,node300,,10,,gov_jev,26,,30,4116,,0,cav3T_Re2000_dt15__govJev_async_r2,0,267,267,cav3T_Re2000_dt15,,0.0066426162543709415,0,0,557.02
15.83,,False,,50,601.0,,True,,26,570.13,False,0.9032,0.5613,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4097, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.5613}}",t_gov,,node062,,10,,gov_jev,26,,30,4097,,0,cav3T_Re2000_dt15__govJev_r0,0,267,267,cav3T_Re2000_dt15,,0.006750168391416692,0,0,604.8
15.43,,False,,50,567.0,,True,,26,533.76,False,0.9032,0.5613,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4097, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.5613}}",t_gov,,node300,,10,,gov_jev,26,,30,4097,,0,cav3T_Re2000_dt15__govJev_r1,0,267,267,cav3T_Re2000_dt15,,0.006750168391416692,0,0,573.0
15.26,,False,,50,535.0,,True,,26,511.21,False,0.9032,0.5613,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4097, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.5613}}",t_gov,,node062,,10,,gov_jev,26,,30,4097,,0,cav3T_Re2000_dt15__govJev_r2,0,267,267,cav3T_Re2000_dt15,,0.006750168391416692,0,0,536.79
0,,False,,50,538.0,,True,,26,524.08,False,0.918,0.5613,"{'completed': True, 'decisions': 26, 'steps': 267, 'outer_total': 4028, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.918, 'p': 0.5613}}",t_gov,,node300,,10,,gov_rules,0,,30,4028,,0,cav3T_Re2000_dt15__govRules,0,267,267,cav3T_Re2000_dt15,,0.00714735832431884,0,0,544.09
0,0,False,[],50,464.0,10.44015912,True,0.0,0,458.91,False,0.7,0.3,,t_gov,0,node062,,0,11242,static,0,0,48,3857,,0,cav3T_Re400_dt30__default,,133,133,cav3T_Re400_dt30,0,2.425240511321821e-06,0,,465.67
7.86,,True,,50,439.0,,True,,13,433.87,False,0.9032,0.3,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 3106, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3}}",t_gov,,node300,,10,,gov_jev,13,,48,3106,,0,cav3T_Re400_dt30__govJev_async_r0,0,133,133,cav3T_Re400_dt30,,0.0014159181407605527,0,0,440.61
7.61,,True,,50,441.0,,True,,13,434.32,False,0.9032,0.3,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 3106, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3}}",t_gov,,node062,,10,,gov_jev,13,,48,3106,,0,cav3T_Re400_dt30__govJev_async_r1,0,133,133,cav3T_Re400_dt30,,0.0014159181407605527,0,0,442.58
7.75,,True,,50,447.0,,True,,13,439.59,False,0.9032,0.3,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 3092, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3}}",t_gov,,node062,,10,,gov_jev,13,,48,3092,,0,cav3T_Re400_dt30__govJev_async_r2,0,133,133,cav3T_Re400_dt30,,0.0014159181552393103,0,0,450.9
7.87,,False,,50,469.0,,True,,13,449.79,False,0.9032,0.3,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 3075, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3}}",t_gov,,node062,,10,,gov_jev,13,,48,3075,,0,cav3T_Re400_dt30__govJev_r0,0,133,133,cav3T_Re400_dt30,,0.0014159181550732487,0,0,470.82
7.52,,False,,50,457.0,,True,,13,439.2,False,0.9032,0.3,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 3075, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3}}",t_gov,,node300,,10,,gov_jev,13,,48,3075,,0,cav3T_Re400_dt30__govJev_r1,0,133,133,cav3T_Re400_dt30,,0.0014159181550732487,0,0,462.55
7.89,,False,,50,479.0,,True,,13,454.77,False,0.9032,0.3,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 3075, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3}}",t_gov,,node062,,10,,gov_jev,13,,48,3075,,0,cav3T_Re400_dt30__govJev_r2,0,133,133,cav3T_Re400_dt30,,0.0014159181550732487,0,0,480.31
0,,False,,50,382.0,,True,,13,377.48,False,0.9307,0.3396,"{'completed': True, 'decisions': 13, 'steps': 133, 'outer_total': 2926, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9307, 'p': 0.3396}}",t_gov,,node300,,10,,gov_rules,0,,48,2926,,0,cav3T_Re400_dt30__govRules,0,133,133,cav3T_Re400_dt30,,0.0015911824685355866,0,0,383.61
0,0,False,[],50,248.0,6.034637594,True,0.0,0,243.75,False,0.7,0.3,,t_gov,0,node300,,0,41359,static,0,0,29,9396,,0,cavT_Re1000_dt05__default,,400,400,cavT_Re1000_dt05,0,1.7733750802733154e-05,0,,252.83
12.51,,True,,50,183.0,,True,,40,179.08,False,0.8649,0.516,"{'completed': True, 'decisions': 40, 'steps': 400, 'outer_total': 6506, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.8649, 'p': 0.516}}",t_gov,,node062,,10,,gov_jev,40,,29,6506,,0,cavT_Re1000_dt05__govJev_async_r0,0,400,400,cavT_Re1000_dt05,,0.00024040801334145273,0,0,184.0
11.64,,True,,50,181.0,,True,,40,175.96,False,0.9307,0.4254,"{'completed': True, 'decisions': 40, 'steps': 400, 'outer_total': 6200, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9307, 'p': 0.4254}}",t_gov,,node062,,10,,gov_jev,40,,29,6200,,0,cavT_Re1000_dt05__govJev_async_r1,0,400,400,cavT_Re1000_dt05,,0.0003300854016702993,0,0,181.82
10.53,,True,,50,175.0,,True,,40,170.89,False,0.9307,0.4254,"{'completed': True, 'decisions': 40, 'steps': 400, 'outer_total': 6358, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9307, 'p': 0.4254}}",t_gov,,node300,,10,,gov_jev,39,,29,6358,,0,cavT_Re1000_dt05__govJev_async_r2,0,400,400,cavT_Re1000_dt05,,0.000328852481082176,0,0,180.61
12.46,,False,,50,194.0,,True,,40,167.26,False,0.9307,0.4254,"{'completed': True, 'decisions': 40, 'steps': 400, 'outer_total': 6181, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9307, 'p': 0.4254}}",t_gov,,node300,,10,,gov_jev,40,,29,6181,,0,cavT_Re1000_dt05__govJev_r0,0,400,400,cavT_Re1000_dt05,,0.0003308722635095022,0,0,199.58
13.36,,False,,50,198.0,,True,,40,175.66,False,0.9307,0.4254,"{'completed': True, 'decisions': 40, 'steps': 400, 'outer_total': 6181, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9307, 'p': 0.4254}}",t_gov,,node062,,10,,gov_jev,40,,29,6181,,0,cavT_Re1000_dt05__govJev_r1,0,400,400,cavT_Re1000_dt05,,0.0003308722635095022,0,0,200.48
12.3,,False,,50,189.0,,True,,40,170.1,False,0.9307,0.4254,"{'completed': True, 'decisions': 40, 'steps': 400, 'outer_total': 6181, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9307, 'p': 0.4254}}",t_gov,,node300,,10,,gov_jev,40,,29,6181,,0,cavT_Re1000_dt05__govJev_r2,0,400,400,cavT_Re1000_dt05,,0.0003308722635095022,0,0,190.27
0,,False,,50,176.0,,True,,40,172.75,False,0.9307,0.4254,"{'completed': True, 'decisions': 40, 'steps': 400, 'outer_total': 6181, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9307, 'p': 0.4254}}",t_gov,,node062,,10,,gov_rules,0,,29,6181,,0,cavT_Re1000_dt05__govRules,0,400,400,cavT_Re1000_dt05,,0.0003308722635095022,0,0,177.78
0,0,False,[],50,166.0,12.06821867,True,0.0,0,161.44,False,0.7,0.3,,t_gov,0,node062,,0,27153,static,0,0,39,5654,,0,cavT_Re1000_dt10__default,,200,200,cavT_Re1000_dt10,0,0.0002580511094137121,0,,167.12
11.52,,True,,50,147.0,,True,,20,141.19,False,0.9032,0.3,"{'completed': True, 'decisions': 20, 'steps': 200, 'outer_total': 4846, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3}}",t_gov,,node300,,10,,gov_jev,20,,39,4846,,0,cavT_Re1000_dt10__govJev_async_r0,0,200,200,cavT_Re1000_dt10,,0.0002974576095378067,0,0,152.31
12.14,,True,,50,157.0,,True,,20,153.9,False,0.9032,0.3,"{'completed': True, 'decisions': 20, 'steps': 200, 'outer_total': 4788, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3}}",t_gov,,node062,,10,,gov_jev,20,,39,4788,,0,cavT_Re1000_dt10__govJev_async_r1,0,200,200,cavT_Re1000_dt10,,0.00029782933834546644,0,0,158.94
11.46,,True,,50,140.0,,True,,20,135.05,False,0.9032,0.3,"{'completed': True, 'decisions': 20, 'steps': 200, 'outer_total': 4846, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3}}",t_gov,,node300,,10,,gov_jev,20,,39,4846,,0,cavT_Re1000_dt10__govJev_async_r2,0,200,200,cavT_Re1000_dt10,,0.000297458883674469,0,0,146.08
11.79,,False,,50,152.0,,True,,20,133.91,False,0.9032,0.3,"{'completed': True, 'decisions': 20, 'steps': 200, 'outer_total': 4754, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3}}",t_gov,,node300,,10,,gov_jev,20,,39,4754,,0,cavT_Re1000_dt10__govJev_r0,0,200,200,cavT_Re1000_dt10,,0.00029812438906015224,0,0,153.42
12.33,,False,,50,153.0,,True,,20,133.68,False,0.9032,0.3,"{'completed': True, 'decisions': 20, 'steps': 200, 'outer_total': 4754, 'slow_capped_steps': 0, 'unstable_steps': 0, 'final_factors': {'U': 0.9032, 'p': 0.3}}",t_gov,,node300,,10,,gov_jev,20,,39,4754,,0,cavT_Re1000_dt10__govJev_r1,0,200,200,cavT_Re1000_dt10,,0.00029812438906015224,0,0,155.27
