group,run,template,u_err_ref2,u_err_ref2b
main,pitzDaily__default,pitzDaily,0.00372880384847303,0.0038004496546448054
main,pitzDaily__grid_U0.3_p0.3,pitzDaily,0.025784185780996435,0.025793532186718635
main,pitzDaily__grid_U0.3_p0.5,pitzDaily,0.025607534646588593,0.025616494937823673
main,pitzDaily__grid_U0.3_p0.7,pitzDaily,0.025331324710414584,0.02533923656100546
main,pitzDaily__grid_U0.3_p0.9,pitzDaily,0.025099395870118398,0.025106659081170483
main,pitzDaily__grid_U0.3_p1.0,pitzDaily,0.02508159043666074,0.02508960075117001
main,pitzDaily__grid_U0.5_p0.3,pitzDaily,0.016093364610140517,0.016095524902699013
main,pitzDaily__grid_U0.5_p0.5,pitzDaily,0.015513773408744713,0.015513098996659811
main,pitzDaily__grid_U0.5_p0.7,pitzDaily,0.014764947455607053,0.014760090924423167
main,pitzDaily__grid_U0.5_p0.9,pitzDaily,0.013730206480845738,0.013721026623200891
main,pitzDaily__grid_U0.5_p1.0,pitzDaily,0.013215391415973146,0.013203921375878707
main,pitzDaily__grid_U0.7_p0.3,pitzDaily,0.008759993481101347,0.008822343271210897
main,pitzDaily__grid_U0.7_p0.5,pitzDaily,0.009243648556955388,0.009307312614929631
main,pitzDaily__grid_U0.7_p0.7,pitzDaily,0.009520483598158274,0.009582706596323218
main,pitzDaily__grid_U0.7_p0.9,pitzDaily,0.009490985517797186,0.009549746483309996
main,pitzDaily__grid_U0.7_p1.0,pitzDaily,0.009385190239509147,0.00944212309975231
main,pitzDaily__grid_U0.8_p0.3,pitzDaily,0.00570648016623308,0.005777772005743708
main,pitzDaily__grid_U0.8_p0.5,pitzDaily,0.006196478124932559,0.0062708496265077305
main,pitzDaily__grid_U0.8_p0.7,pitzDaily,0.006758250169617029,0.006834805345468118
main,pitzDaily__grid_U0.8_p0.9,pitzDaily,0.006916206890908719,0.006993090665924412
main,pitzDaily__grid_U0.8_p1.0,pitzDaily,0.007135660862999065,0.007212710573701951
main,pitzDaily__grid_U0.95_p0.3,pitzDaily,0.0003892538161490413,0.000515505314881027
main,pitzDaily__grid_U0.95_p0.5,pitzDaily,0.0006618377058873877,0.0007804839645104867
main,pitzDaily__grid_U0.95_p0.7,pitzDaily,0.0020025359186555585,0.002096831617156675
main,pitzDaily__grid_U0.95_p0.9,pitzDaily,0.0021525145861085995,0.0022498681152819298
main,pitzDaily__grid_U0.95_p1.0,pitzDaily,0.0025936573231967134,0.0026920468261401416
main,pitzDaily__grid_U0.98_p0.3,pitzDaily,0.002608762606014498,0.002622992977599022
main,pitzDaily__grid_U0.98_p0.5,pitzDaily,0.0014007411467792947,0.001430932996328222
main,pitzDaily__grid_U0.98_p0.7,pitzDaily,0.0010936667832510242,0.0011346539712108797
main,pitzDaily__grid_U0.98_p0.9,pitzDaily,0.0010284112622646656,0.0010814888233427614
main,pitzDaily__grid_U0.98_p1.0,pitzDaily,0.004756090246811778,0.004760975660672914
main,pitzDaily__grid_U0.9_p0.3,pitzDaily,0.002178255534981435,0.002262536423178367
main,pitzDaily__grid_U0.9_p0.5,pitzDaily,0.003575892205857858,0.003647957637115244
main,pitzDaily__grid_U0.9_p0.7,pitzDaily,0.0035212580279801145,0.0035951435724564046
main,pitzDaily__grid_U0.9_p0.9,pitzDaily,0.003758178216229419,0.0038301573855434217
main,pitzDaily__grid_U0.9_p1.0,pitzDaily,0.00372880384847303,0.0038004496546448054
main,pitzDaily__heuristic,pitzDaily,0.001427775296283233,0.001540606821591073
main,pitzDaily__heuristic_low,pitzDaily,0.0009055073514257076,0.0010428700338397513
main,pitzDaily__jev_i20,pitzDaily,0.0012862691162521844,0.001405464529759679
main,pitzDaily__jev_i5,pitzDaily,0.006245519114480587,0.006310677401999398
main,pitzDaily__jev_i50,pitzDaily,0.0021852139239819514,0.0022895615960162644
main,pitzDaily__jev_low,pitzDaily,0.0013126679000469035,0.0014184497824897297
main,pitzDaily__jev_nounst,pitzDaily,0.0005892234840445729,0.000723128801125197
main,pitzDaily__jev_r0,pitzDaily,0.0004087416201094539,0.0005852763601528025
main,pitzDaily__jev_r1,pitzDaily,0.0005511209216540357,0.0006888067321222387
main,pitzDaily__jev_r2,pitzDaily,0.003693243020597249,0.0037506023179616475
main,pitzDaily__jev_s0.5,pitzDaily,0.000729607361195786,0.000877430570696899
main,pm_bfs_U25__default,pm_bfs_U25,0.23667887192551634,0.2362210044969008
main,pm_bfs_U25__grid_U0.3_p0.3,pm_bfs_U25,0.1126413831574612,0.11249801706325605
main,pm_bfs_U25__grid_U0.3_p0.5,pm_bfs_U25,0.1108507115702994,0.11064176431459338
main,pm_bfs_U25__grid_U0.3_p0.7,pm_bfs_U25,0.12241562234954034,0.12189181145523222
main,pm_bfs_U25__grid_U0.3_p0.9,pm_bfs_U25,0.10010343495681269,0.09992426497586308
main,pm_bfs_U25__grid_U0.3_p1.0,pm_bfs_U25,0.0911848338590705,0.09099124257770465
main,pm_bfs_U25__grid_U0.5_p0.3,pm_bfs_U25,0.22649465689133313,0.22608722179378227
main,pm_bfs_U25__grid_U0.5_p0.5,pm_bfs_U25,0.23667887192551634,0.2362210044969008
main,pm_bfs_U25__grid_U0.5_p0.7,pm_bfs_U25,0.23153021735596813,0.2311482336070623
main,pm_bfs_U25__grid_U0.5_p0.9,pm_bfs_U25,0.07757892127374211,0.07770628030530712
main,pm_bfs_U25__grid_U0.5_p1.0,pm_bfs_U25,0.07257357450022857,0.07213483819842731
main,pm_bfs_U25__grid_U0.7_p0.3,pm_bfs_U25,0.019176115707928335,0.018089606533371175
main,pm_bfs_U25__grid_U0.7_p0.5,pm_bfs_U25,0.18764634455358478,0.18728453559332955
main,pm_bfs_U25__grid_U0.7_p0.7,pm_bfs_U25,0.015461866682585977,0.014613681372153573
main,pm_bfs_U25__grid_U0.7_p0.9,pm_bfs_U25,0.050924229956885725,0.05062911767753568
main,pm_bfs_U25__grid_U0.7_p1.0,pm_bfs_U25,0.050308342110244535,0.050220782525140124
main,pm_bfs_U25__grid_U0.8_p0.3,pm_bfs_U25,0.02027478022558991,0.01834406256046369
main,pm_bfs_U25__grid_U0.8_p0.5,pm_bfs_U25,0.01965679559252428,0.02063845925842244
main,pm_bfs_U25__grid_U0.8_p0.7,pm_bfs_U25,0.019018058069361528,0.020384319436124454
main,pm_bfs_U25__grid_U0.8_p0.9,pm_bfs_U25,0.018041807270047516,0.01946429697460344
main,pm_bfs_U25__grid_U0.8_p1.0,pm_bfs_U25,0.017952823265573688,0.015615417167698212
main,pm_bfs_U25__grid_U0.95_p0.3,pm_bfs_U25,0.007630762471774327,0.008444443220130816
main,pm_bfs_U25__grid_U0.95_p0.5,pm_bfs_U25,0.011074779933796065,0.011684315311036749
main,pm_bfs_U25__grid_U0.95_p0.7,pm_bfs_U25,0.011925899115122424,0.01265666931102235
main,pm_bfs_U25__grid_U0.95_p0.9,pm_bfs_U25,0.014302169950950034,0.014757551281378588
main,pm_bfs_U25__grid_U0.95_p1.0,pm_bfs_U25,0.012980928605157677,0.014113474052438384
main,pm_bfs_U25__grid_U0.98_p0.3,pm_bfs_U25,0.013076453513883706,0.013194072446518204
main,pm_bfs_U25__grid_U0.98_p0.5,pm_bfs_U25,0.010638065928781157,0.010964656847252362
main,pm_bfs_U25__grid_U0.98_p0.7,pm_bfs_U25,0.011397634010441148,0.01169427004566194
main,pm_bfs_U25__grid_U0.98_p0.9,pm_bfs_U25,0.014806311133821276,0.015059540599814354
main,pm_bfs_U25__grid_U0.98_p1.0,pm_bfs_U25,0.015333035306719308,0.015547591517106817
main,pm_bfs_U25__grid_U0.9_p0.3,pm_bfs_U25,0.015403610733540978,0.013350216212877778
main,pm_bfs_U25__grid_U0.9_p0.5,pm_bfs_U25,0.0184456537852156,0.01812392560280823
main,pm_bfs_U25__grid_U0.9_p0.7,pm_bfs_U25,0.01887066569317143,0.019858085954708702
main,pm_bfs_U25__grid_U0.9_p0.9,pm_bfs_U25,0.023343702300697385,0.022163628102092634
main,pm_bfs_U25__grid_U0.9_p1.0,pm_bfs_U25,0.017115386492463098,0.018460131678047827
main,pm_bfs_U25__heuristic,pm_bfs_U25,0.23591891818059718,0.2354976082096311
main,pm_bfs_U25__heuristic_low,pm_bfs_U25,0.23796175020517457,0.23751065895545734
main,pm_bfs_U25__heuristic_pmbounds,pm_bfs_U25,0.3485440661393177,0.3481659733219564
main,pm_bfs_U25__jev_i20,pm_bfs_U25,0.03992991261866171,0.04005918564819456
main,pm_bfs_U25__jev_i5,pm_bfs_U25,0.22118841065778155,0.22074195479057562
main,pm_bfs_U25__jev_i50,pm_bfs_U25,0.035467173847463604,0.0354093148921172
main,pm_bfs_U25__jev_low,pm_bfs_U25,0.03395959761121168,0.03283337728108181
main,pm_bfs_U25__jev_nounst,pm_bfs_U25,0.2216823092136147,0.22144807394528523
main,pm_bfs_U25__jev_pmbounds_i10,pm_bfs_U25,0.22353871585888996,0.2230382034950832
main,pm_bfs_U25__jev_pmbounds_i100,pm_bfs_U25,0.02185221050779119,0.02164747902290415
main,pm_bfs_U25__jev_r0,pm_bfs_U25,0.04051687783855976,0.04064813779980065
main,pm_bfs_U25__jev_r1,pm_bfs_U25,0.02412209233349165,0.02388299786729898
main,pm_bfs_U25__jev_r2,pm_bfs_U25,0.033819854933641216,0.032856820030202884
main,pm_bfs_U25__jev_s0.5,pm_bfs_U25,0.22176518095842115,0.22151134908252185
main,pm_bfs_U44__default,pm_bfs_U44,0.06465482817999467,
main,pm_bfs_U44__grid_U0.3_p0.3,pm_bfs_U44,0.37598809537031214,
main,pm_bfs_U44__grid_U0.3_p0.5,pm_bfs_U44,0.38208796452033,
main,pm_bfs_U44__grid_U0.3_p0.7,pm_bfs_U44,0.11511930927067802,
main,pm_bfs_U44__grid_U0.3_p0.9,pm_bfs_U44,0.09583715344353834,
main,pm_bfs_U44__grid_U0.3_p1.0,pm_bfs_U44,0.08582011345220178,
main,pm_bfs_U44__grid_U0.5_p0.3,pm_bfs_U44,0.06283921175102601,
main,pm_bfs_U44__grid_U0.5_p0.5,pm_bfs_U44,0.06465482817999467,
main,pm_bfs_U44__grid_U0.5_p0.7,pm_bfs_U44,0.07271642070750278,
main,pm_bfs_U44__grid_U0.5_p0.9,pm_bfs_U44,0.06419424141434503,
main,pm_bfs_U44__grid_U0.5_p1.0,pm_bfs_U44,0.06426741497489656,
main,pm_bfs_U44__grid_U0.7_p0.3,pm_bfs_U44,0.020512467873011742,
main,pm_bfs_U44__grid_U0.7_p0.5,pm_bfs_U44,0.19194105554525973,
main,pm_bfs_U44__grid_U0.7_p0.7,pm_bfs_U44,0.016925739692801964,
main,pm_bfs_U44__grid_U0.7_p0.9,pm_bfs_U44,0.04974172437184401,
main,pm_bfs_U44__grid_U0.7_p1.0,pm_bfs_U44,0.0463389669694057,
main,pm_bfs_U44__grid_U0.8_p0.3,pm_bfs_U44,0.02136536394604328,
main,pm_bfs_U44__grid_U0.8_p0.5,pm_bfs_U44,0.01987207741984717,
main,pm_bfs_U44__grid_U0.8_p0.7,pm_bfs_U44,0.01952095765777514,
main,pm_bfs_U44__grid_U0.8_p0.9,pm_bfs_U44,0.019614185928498718,
main,pm_bfs_U44__grid_U0.8_p1.0,pm_bfs_U44,0.0197491442400906,
main,pm_bfs_U44__grid_U0.95_p0.3,pm_bfs_U44,0.004312572634934016,
main,pm_bfs_U44__grid_U0.95_p0.5,pm_bfs_U44,0.008099832688110344,
main,pm_bfs_U44__grid_U0.95_p0.7,pm_bfs_U44,0.008903908744350758,
main,pm_bfs_U44__grid_U0.95_p0.9,pm_bfs_U44,0.014704923080894357,
main,pm_bfs_U44__grid_U0.95_p1.0,pm_bfs_U44,0.00841261774476195,
main,pm_bfs_U44__grid_U0.98_p0.3,pm_bfs_U44,0.0092055190376524,
main,pm_bfs_U44__grid_U0.98_p0.5,pm_bfs_U44,0.010347532372485136,
main,pm_bfs_U44__grid_U0.98_p0.7,pm_bfs_U44,0.010928935556422393,
main,pm_bfs_U44__grid_U0.98_p0.9,pm_bfs_U44,0.00975630372004969,
main,pm_bfs_U44__grid_U0.98_p1.0,pm_bfs_U44,0.008082065372865911,
main,pm_bfs_U44__grid_U0.9_p0.3,pm_bfs_U44,0.012460597817742414,
main,pm_bfs_U44__grid_U0.9_p0.5,pm_bfs_U44,0.012353867235500126,
main,pm_bfs_U44__grid_U0.9_p0.7,pm_bfs_U44,0.011122446786101282,
main,pm_bfs_U44__grid_U0.9_p0.9,pm_bfs_U44,0.012135400753774101,
main,pm_bfs_U44__grid_U0.9_p1.0,pm_bfs_U44,0.01140964966312373,
main,pm_bfs_U44__heuristic,pm_bfs_U44,0.04860978538472607,
main,pm_bfs_U44__heuristic_low,pm_bfs_U44,0.05979802570821128,
main,pm_bfs_U44__heuristic_pmbounds,pm_bfs_U44,0.3619801520532651,
