# generated by analysis/make_accuracy.py -- do not edit
name,value
AccCavDefHi,"0.14"
AccCavDefLo,"0.07"
AccCavHeurHi,"0.10"
AccCavHeurLo,"0.00"
AccCavJevHi,"0.10"
AccCavJevLo,"0.00"
AccCavJevaHi,"0.10"
AccCavJevaLo,"0.02"
AccCavOraHi,"0.08"
AccCavOraLo,"0.07"
AccNBetter,"13"
AccNBoth,"15"
AccOldRefHi,"1.5"
AccOldRefLo,"1.3"
AccOldRefLowHi,"24"
AccOldRefLowLo,"23"
AccPitzDefHi,"0.37"
AccPitzDefLo,"0.34"
AccPitzHeurHi,"0.30"
AccPitzHeurLo,"0.03"
AccPitzJevHi,"0.04"
AccPitzJevLo,"0.02"
AccPitzJevaHi,"0.11"
AccPitzJevaLo,"0.03"
AccPitzOraHi,"0.26"
AccPitzOraLo,"0.22"
AccPmDefHi,"8.70"
AccPmDefLo,"6.47"
AccPmHeurHi,"4.74"
AccPmHeurLo,"3.11"
AccPmJevHi,"4.53"
AccPmJevLo,"3.08"
AccPmJevaHi,"4.56"
AccPmJevaLo,"3.31"
AccPmOraHi,"1.48"
AccPmOraLo,"0.84"
AccRefPitz,"0.03"
AccRefPmHi,"0.40"
AccRefPmLo,"0.10"
AccWorstExcess,"0.01"
FieldFalse,"49"
FieldFalseMax,"242"
FieldFixHi,"0.53"
FieldFixLo,"0.01"
FieldOneHi,"48.59"
FieldOneLo,"0.01"
FieldOneOkHi,"1.52"
FieldTwoHi,"1.52"
FieldTwoLo,"0.01"
