# generated by analysis/make_tables.py -- do not edit
name,value
AblFiveCavHi,"0.76"
AblFiveCavLo,"0.45"
AblLowCavHi,"0.41"
AblLowCavLo,"0.26"
AblLowVsHi,"56"
AblLowVsLo,"-31"
AblTwentyCavHi,"0.44"
AblTwentyCavLo,"0.19"
AckCavIt,"1.17"
AckPitzIt,"0.92"
AckPmIt,"0.95"
AsyncRepeatSpread,"50"
CavDefHi,"3,810"
CavDefLo,"2,643"
CavEHeurConv,"4/4"
CavEHeurItGm,"0.27"
CavEHeurItHi,"0.45"
CavEHeurItLo,"0.19"
CavEHeurMean,"857"
CavEHeurRunHi,"1,311"
CavEHeurRunLo,"679"
CavEHeurTGm,"0.38"
CavEJevConv,"12/12"
CavEJevItGm,"0.32"
CavEJevItHi,"0.41"
CavEJevItLo,"0.25"
CavEJevMean,"998"
CavEJevRunHi,"1,220"
CavEJevRunLo,"769"
CavEJevTGm,"0.85"
CavEJevaConv,"12/12"
CavEJevaItGm,"0.30"
CavEJevaItHi,"0.45"
CavEJevaItLo,"0.24"
CavEJevaMean,"935"
CavEJevaRunHi,"1,613"
CavEJevaRunLo,"690"
CavEJevaTGm,"0.40"
CavFHeurConv,"5/5"
CavFHeurItGm,"0.23"
CavFHeurItHi,"0.35"
CavFHeurItLo,"0.19"
CavFHeurMean,"718"
CavFHeurRunHi,"934"
CavFHeurRunLo,"602"
CavFHeurTGm,"0.33"
CavFJevConv,"15/15"
CavFJevItGm,"0.31"
CavFJevItHi,"0.59"
CavFJevItLo,"0.19"
CavFJevMean,"1,020"
CavFJevRunHi,"2,036"
CavFJevRunLo,"667"
CavFJevTGm,"0.81"
CavFJevaConv,"15/15"
CavFJevaItGm,"0.29"
CavFJevaItHi,"0.49"
CavFJevaItLo,"0.20"
CavFJevaMean,"936"
CavFJevaRunHi,"1,511"
CavFJevaRunLo,"619"
CavFJevaTGm,"0.38"
CavGridCostHi,"29"
CavGridCostLo,"25"
CavOraHi,"1,221"
CavOraItGm,"0.32"
CavOraLo,"850"
CavOraTGm,"0.40"
CavWaitHi,"50"
CavWaitLo,"44"
DelayMedHi,"10"
DelayMedLo,"6"
DelayNinetyHi,"19"
DrlHundHi,"771"
DrlHundLo,"677"
DrlOraHi,"417"
DrlOraLo,"403"
DrlOwnHi,"488"
DrlOwnLo,"481"
DrlTenHi,"583"
DrlTenLo,"546"
GridCostHi,"173"
GridCostLo,"25"
LatencyS,"0.29"
LbfsDefHi,"5,521"
LbfsDefLo,"2,918"
LbfsEHeurConv,"4/4"
LbfsEHeurItGm,"0.52"
LbfsEHeurItHi,"0.62"
LbfsEHeurItLo,"0.41"
LbfsEHeurMean,"5,202"
LbfsEHeurRunHi,"14,072"
LbfsEHeurRunLo,"1,193"
LbfsEHeurTGm,"0.53"
LbfsEJevConv,"9/12"
LbfsEJevItGm,"0.56"
LbfsEJevItHi,"0.57"
LbfsEJevItLo,"0.54"
LbfsEJevMean,"2,327"
LbfsEJevRunHi,"3,158"
LbfsEJevRunLo,"1,586"
LbfsEJevTGm,"0.72"
LbfsEJevaConv,"9/12"
LbfsEJevaItGm,"0.55"
LbfsEJevaItHi,"0.63"
LbfsEJevaItLo,"0.45"
LbfsEJevaMean,"2,309"
LbfsEJevaRunHi,"3,160"
LbfsEJevaRunLo,"1,321"
LbfsEJevaTGm,"0.56"
LbfsFHeurConv,"1/5"
LbfsFHeurItGm,"0.27"
LbfsFHeurItHi,"0.27"
LbfsFHeurItLo,"0.27"
LbfsFHeurMean,"798"
LbfsFHeurRunHi,"798"
LbfsFHeurRunLo,"798"
LbfsFHeurTGm,"0.30"
LbfsFJevConv,"0/15"
LbfsFJevaConv,"0/15"
LbfsGridCostHi,"38"
LbfsGridCostLo,"30"
LbfsOraHi,"6,568"
LbfsOraItGm,"0.63"
LbfsOraLo,"1,839"
LbfsOraTGm,"0.68"
NCallsTotal,"243,179"
NRefRuns,"22"
NRunsModel,"601"
NRunsTotal,"1,445"
NoiseHi,"2.2"
NoiseLo,"1.1"
PitzDefHi,"293"
PitzDefLo,"282"
PitzEHeurConv,"2/2"
PitzEHeurItGm,"0.64"
PitzEHeurItHi,"0.64"
PitzEHeurItLo,"0.63"
PitzEHeurMean,"183"
PitzEHeurRunHi,"186"
PitzEHeurRunLo,"180"
PitzEHeurTGm,"0.86"
PitzEJevConv,"6/6"
PitzEJevItGm,"1.11"
PitzEJevItHi,"1.19"
PitzEJevItLo,"1.04"
PitzEJevMean,"320"
PitzEJevRunHi,"354"
PitzEJevRunLo,"300"
PitzEJevTGm,"2.00"
PitzEJevaConv,"6/6"
PitzEJevaItGm,"0.88"
PitzEJevaItHi,"0.92"
PitzEJevaItLo,"0.83"
PitzEJevaMean,"252"
PitzEJevaRunHi,"345"
PitzEJevaRunLo,"216"
PitzEJevaTGm,"1.01"
PitzFHeurConv,"3/3"
PitzFHeurItGm,"0.70"
PitzFHeurItHi,"0.84"
PitzFHeurItLo,"0.63"
PitzFHeurMean,"203"
PitzFHeurRunHi,"243"
PitzFHeurRunLo,"180"
PitzFHeurTGm,"0.94"
PitzFJevConv,"9/9"
PitzFJevItGm,"1.23"
PitzFJevItHi,"1.40"
PitzFJevItLo,"1.11"
PitzFJevMean,"356"
PitzFJevRunHi,"625"
PitzFJevRunLo,"222"
PitzFJevTGm,"2.20"
PitzFJevaConv,"9/9"
PitzFJevaItGm,"1.00"
PitzFJevaItHi,"1.23"
PitzFJevaItLo,"0.86"
PitzFJevaMean,"291"
PitzFJevaRunHi,"477"
PitzFJevaRunLo,"208"
PitzFJevaTGm,"1.09"
PitzGridCostHi,"173"
PitzGridCostLo,"147"
PitzOraHi,"199"
PitzOraItGm,"0.68"
PitzOraLo,"196"
PitzOraTGm,"0.85"
PitzWaitHi,"38"
PitzWaitLo,"36"
PmAsyncHi,"865"
PmAsyncLo,"482"
PmDefHi,"1,881"
PmDefLo,"1,595"
PmEHeurConv,"3/6"
PmEHeurItGm,"0.80"
PmEHeurItHi,"1.64"
PmEHeurItLo,"0.39"
PmEHeurMean,"2,468"
PmEHeurRunHi,"3,652"
PmEHeurRunLo,"670"
PmEHeurTGm,"0.88"
PmEJevConv,"12/18"
PmEJevItGm,"0.37"
PmEJevItHi,"0.46"
PmEJevItLo,"0.30"
PmEJevMean,"639"
PmEJevRunHi,"808"
PmEJevRunLo,"499"
PmEJevTGm,"0.68"
PmEJevaConv,"10/18"
PmEJevaItGm,"0.43"
PmEJevaItHi,"0.48"
PmEJevaItLo,"0.38"
PmEJevaMean,"737"
PmEJevaRunHi,"857"
PmEJevaRunLo,"548"
PmEJevaTGm,"0.47"
PmFHeurConv,"9/9"
PmFHeurItGm,"0.34"
PmFHeurItHi,"0.36"
PmFHeurItLo,"0.30"
PmFHeurMean,"596"
PmFHeurRunHi,"868"
PmFHeurRunLo,"509"
PmFHeurTGm,"0.40"
PmFJevConv,"27/27"
PmFJevItGm,"0.29"
PmFJevItHi,"0.31"
PmFJevItLo,"0.26"
PmFJevMean,"483"
PmFJevRunHi,"507"
PmFJevRunLo,"428"
PmFJevTGm,"0.56"
PmFJevaConv,"27/27"
PmFJevaItGm,"0.35"
PmFJevaItHi,"0.39"
PmFJevaItLo,"0.32"
PmFJevaMean,"598"
PmFJevaRunHi,"865"
PmFJevaRunLo,"482"
PmFJevaTGm,"0.39"
PmFinalUHi,"0.990"
PmFinalULo,"0.977"
PmGridCostHi,"39"
PmGridCostLo,"34"
PmHeurHi,"868"
PmHeurLo,"509"
PmOraAdvPct,"15"
PmOraHi,"417"
PmOraItGm,"0.24"
PmOraLo,"390"
PmOraTGm,"0.29"
PmWaitHi,"36"
PmWaitLo,"33"
ReplBestIt,"600"
ReplBestPair,"0.9/0.3"
ReplExtIt,"405"
ReplOursNineNine,"653"
ReplWithin,"12"
StartupS,"3.6"
