# generated by analysis/make_perm.py -- do not edit
name,value
PermCellsHi,"17.7"
PermCellsLo,"14.2"
PermDefHours,"61.0"
PermFalseDK,"2.4"
PermFalseIt,"90"
PermFixDKMax,"0.09"
PermFixHours,"36.3"
PermFixItGm,"0.55"
PermFixItHi,"0.84"
PermFixItLo,"0.49"
PermFixTGm,"0.59"
PermFixTHi,"0.78"
PermFixTLo,"0.51"
PermFixedDK,"0.07"
PermFixedIt,"217"
PermFixedRatio,"0.37"
PermMaxGainVsFixed,"2.4"
PermNFewerThanFixed,"6"
PermNineEightDKMax,"0.05"
PermNineEightFalseDKHi,"3.0"
PermNineEightFalseDKLo,"3.0"
PermNineEightHoursAll,"21.0"
PermNineEightItHi,"0.69"
PermNineEightItLo,"0.23"
PermNineEightModelVsGm,"1.06"
PermNineEightModelVsHi,"2.23"
PermNineEightModelVsLo,"0.81"
PermNineEightNDiv,"0"
PermNineEightNFalse,"1"
PermNineEightNOk,"6"
PermNineEightNRunning,"0"
PermNineNineDKMax,"0.09"
PermNineNineFalseDKHi,"18.9"
PermNineNineFalseDKLo,"3.8"
PermNineNineItHi,"0.81"
PermNineNineItLo,"0.81"
PermNineNineModelVsGm,"0.69"
PermNineNineModelVsHi,"0.69"
PermNineNineModelVsLo,"0.69"
PermNineNineNDiv,"4"
PermNineNineNFalse,"2"
PermNineNineNOk,"1"
PermNineNineNRunning,"0"
PermOneDKMax,"2.37"
PermOneDKMaxOk,"0.22"
PermOneHours,"19.0"
PermOneItGm,"0.33"
PermOneItHi,"0.69"
PermOneItLo,"0.16"
PermOneTGm,"0.36"
PermOneTHi,"0.67"
PermOneTLo,"0.19"
PermTwoDKMax,"0.17"
PermTwoHours,"21.3"
PermTwoItGm,"0.38"
PermTwoItHi,"0.69"
PermTwoItLo,"0.20"
PermTwoTGm,"0.41"
PermTwoTHi,"0.64"
PermTwoTLo,"0.29"
PermWorstOkDK,"0.22"
