# generated by analysis/make_repeatability.py -- do not edit
name,value
RepEAsyncCond,"22"
RepEAsyncMixed,"0"
RepEAsyncRuns,"66"
RepEAsyncSamePath,"0"
RepEAsyncSpreadLeFive,"0"
RepEAsyncSpreadMax,"75"
RepEAsyncSpreadMed,"17"
RepEAsyncSpreadN,"17"
RepEBestCmp,"17"
RepEBestInside,"0"
RepEDefCmp,"15"
RepEDefInside,"2"
RepERulesCmp,"17"
RepERulesInside,"3"
RepESyncCond,"22"
RepESyncMixed,"0"
RepESyncRuns,"66"
RepESyncSamePath,"0"
RepESyncSpreadLeFive,"7"
RepESyncSpreadMax,"78"
RepESyncSpreadMed,"8"
RepESyncSpreadN,"17"
RepFirstDiffIt,"55"
RepFirstDiffN,"32"
RepFlipEPct,"4.9"
RepFlipPPct,"0.2"
RepFlipTPct,"0.2"
RepPAsyncCond,"16"
RepPAsyncMixed,"5"
RepPAsyncRuns,"48"
RepPAsyncSamePath,"2"
RepPAsyncSpreadLeFive,"4"
RepPAsyncSpreadMax,"50"
RepPAsyncSpreadMed,"26"
RepPAsyncSpreadN,"12"
RepPSyncCond,"16"
RepPSyncMixed,"0"
RepPSyncRuns,"48"
RepPSyncSamePath,"7"
RepPSyncSpreadLeFive,"8"
RepPSyncSpreadMax,"28"
RepPSyncSpreadMed,"2"
RepPSyncSpreadN,"13"
RepSameStateDpMax,"0.16"
RepSameStateDpMed,"0.03"
RepSameStatePairs,"12,064"
RepSameStateSameMovePct,"99.3"
RepSameStateSameProbsPct,"2"
RepSteadyAsyncCond,"38"
RepSteadyAsyncMixed,"5"
RepSteadyAsyncSamePath,"2"
RepSteadyAsyncSpreadMax,"75"
RepSteadyAsyncSpreadMed,"18"
RepSteadyAsyncSpreadN,"29"
RepSteadySyncCond,"38"
RepSteadySyncMixed,"0"
RepSteadySyncSamePath,"7"
RepSteadySyncSpreadMax,"78"
RepSteadySyncSpreadMed,"5"
RepSteadySyncSpreadN,"30"
RepTAsyncCond,"16"
RepTAsyncMixed,"0"
RepTAsyncRuns,"48"
RepTAsyncSamePath,"9"
RepTAsyncSpreadLeFive,"14"
RepTAsyncSpreadMax,"1"
RepTAsyncSpreadMed,"0"
RepTAsyncSpreadN,"14"
RepTSyncCond,"16"
RepTSyncMixed,"0"
RepTSyncRuns,"48"
RepTSyncSamePath,"15"
RepTSyncSpreadLeFive,"14"
RepTSyncSpreadMax,"0"
RepTSyncSpreadMed,"0"
RepTSyncSpreadN,"14"
