# generated by analysis/make_transient.py -- do not edit
name,value
TrAllBestGm,"0.51"
TrAllBestHi,"0.70"
TrAllBestLo,"0.38"
TrAllHeurGm,"0.57"
TrAllHeurHi,"0.85"
TrAllHeurLo,"0.44"
TrAllHeurOk,"14/16"
TrAllHeurTGm,"0.61"
TrAllJevGm,"0.56"
TrAllJevHi,"0.85"
TrAllJevLo,"0.44"
TrAllJevOk,"42/48"
TrAllJevTGm,"0.65"
TrAllJevaGm,"0.57"
TrAllJevaHi,"0.85"
TrAllJevaLo,"0.44"
TrAllJevaOk,"42/48"
TrAllJevaTGm,"0.59"
TrAllWaitPct,"6"
TrCalls,"3,909"
TrCoHi,"13"
TrCoLo,"3"
TrDefHi,"34"
TrDefLo,"20"
TrDesBestGm,"0.52"
TrDesBestHi,"0.70"
TrDesBestLo,"0.38"
TrDesHeurGm,"0.60"
TrDesHeurHi,"0.85"
TrDesHeurLo,"0.44"
TrDesHeurOk,"8/8"
TrDesHeurTGm,"0.62"
TrDesJevGm,"0.59"
TrDesJevHi,"0.85"
TrDesJevLo,"0.44"
TrDesJevOk,"24/24"
TrDesJevTGm,"0.68"
TrDesJevaGm,"0.60"
TrDesJevaHi,"0.85"
TrDesJevaLo,"0.44"
TrDesJevaOk,"24/24"
TrDesJevaTGm,"0.60"
TrDesWaitPct,"6"
TrErrBestHi,"4.64"
TrErrDefHi,"0.04"
TrErrHeurHi,"1.38"
TrErrJevHi,"1.38"
TrGovCalls,"4,061"
TrGovCrashCaseDef,"29.0"
TrGovCrashCaseIt,"23.1"
TrGovErrHi,"1.40"
TrGovHardDefIt,"33.6"
TrGovHardIt,"22.2"
TrGovHardSlow,"10"
TrGovJevClean,"45/48"
TrGovJevDone,"48/48"
TrGovJevGm,"0.60"
TrGovJevHi,"0.84"
TrGovJevLo,"0.44"
TrGovJevTGm,"0.69"
TrGovJevaClean,"45/48"
TrGovJevaDone,"48/48"
TrGovJevaGm,"0.60"
TrGovJevaHi,"0.85"
TrGovJevaLo,"0.44"
TrGovJevaTGm,"0.64"
TrGovRulesClean,"15/16"
TrGovRulesDone,"16/16"
TrGovRulesGm,"0.59"
TrGovRulesHi,"0.85"
TrGovRulesLo,"0.44"
TrGovRulesTGm,"0.63"
TrGovRulesVsT,"1.02"
TrGovRuns,"112"
TrGovSlow,"79"
TrGovUnstable,"1"
TrGovVsT,"1.03"
TrGridCrashPct,"19"
TrHeldBestGm,"0.50"
TrHeldBestHi,"0.66"
TrHeldBestLo,"0.40"
TrHeldHeurGm,"0.53"
TrHeldHeurHi,"0.61"
TrHeldHeurLo,"0.48"
TrHeldHeurOk,"6/8"
TrHeldHeurTGm,"0.59"
TrHeldJevGm,"0.53"
TrHeldJevHi,"0.61"
TrHeldJevLo,"0.48"
TrHeldJevOk,"18/24"
TrHeldJevTGm,"0.63"
TrHeldJevaGm,"0.53"
TrHeldJevaHi,"0.61"
TrHeldJevaLo,"0.48"
TrHeldJevaOk,"18/24"
TrHeldJevaTGm,"0.57"
TrHeldWaitPct,"7"
TrNCond,"16"
TrNRuns,"612"
TrSamePath,"31/48"
TrUnconvPct,"0.2"
